sortie,R2_train,Q2_test,R2_test,MAE_test,RMSE_test,n_train,n_test
N_lixi,0.9957820835684011,0.8633178465326422,0.8633178465326422,0.19559255755831476,0.28208356685599795,7500,2500
dCorg,0.9996940901841544,0.9904982752134172,0.9904982752134172,5.249872914526013,9.041496326551133,7500,2500
rdt,0.9984746562755825,0.9589715017457628,0.9589715017457628,0.04519613363605482,0.0710768572438342,7500,2500
