sortie,metamodele,Q2_test,R2_train_effectif,MAE_test,RMSE_test,n_train_total,n_train_effectif,n_test,statut
N_lixi,ExtraTrees,0.8633178465326422,0.9957820835684011,0.19559255755831478,0.28208356685599795,7500,7500,2500,ok
dCorg,ExtraTrees,0.990684301950419,0.9996938110813038,5.207281203202669,8.952550681107889,7500,7500,2500,ok
rdt,ExtraTrees,0.9594700148875738,0.998491114867741,0.04495245692529005,0.07064373102145564,7500,7500,2500,ok
