sortie,parametre_A,parametre_B,R2_A,R2_B,R2_additif,R2_interaction,R2_global,p_value_additif,p_value_global,n,n_A,n_B,n_cellules,df_model_global,df_resid_global
N_lixi,Jour_Semis,Jours_op_recolte,0.3405472638036866,0.0816755160348915,0.4209013111571326,0.007301804581846039,0.4282031157389786,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,n_ferti,Jour_Semis,0.03402173744854255,0.3405472638036866,0.3747316466401531,0.029411388143201433,0.40414303478335456,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Jour_Semis,Jours_semis_F1,0.3405472638036866,0.03852178579565144,0.3777706470996942,0.021387115592663486,0.3991577626923577,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Jour_Semis,Jours_av_PREPA,0.3405472638036866,0.041258465222171005,0.3813524193054615,0.0009991321157392097,0.3823515514212007,0.0,0.0,10000,4,3,12,11.0,9988.0
N_lixi,has_prepa,Jour_Semis,0.02525211439207176,0.3405472638036866,0.36887810129953724,0.00047089524229926294,0.3693489965418365,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,Jour_Semis,Dose_F1_1,0.3405472638036866,0.01228457616795328,0.35250661897502467,0.016577452902483802,0.36908407187750847,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,nb_f1,Jour_Semis,0.01051088409006777,0.3405472638036866,0.35089549845115153,0.010913525097757226,0.36180902354890876,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,prepa_1,Jour_Semis,0.014301712205255047,0.3405472638036866,0.35804613095136084,0.00040086108182957325,0.3584469920331904,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,type_f1_2,Jour_Semis,0.00024671321911458387,0.3405472638036866,0.34092814747263556,0.011809254467220143,0.3527374019398557,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,nb_prepa,Jour_Semis,0.008203532433891136,0.3405472638036866,0.3516258490015064,0.00020286653262269194,0.3518287155341291,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,Jour_Semis,Jours_F1_F2,0.3405472638036866,0.00150557640118911,0.34207619910141585,0.008206470039174074,0.3502826691405899,0.0,0.0,10000,4,2,8,7.0,9992.0
N_lixi,prepa_2,Jour_Semis,0.004660852874015987,0.3405472638036866,0.3445873420453762,0.004997725787570406,0.3495850678329466,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,type_f2_2,Jour_Semis,0.005243183577709689,0.3405472638036866,0.3480952471963711,0.000564985123455819,0.3486602323198269,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Jour_Semis,Jours_F2_F3,0.3405472638036866,0.002942704231735233,0.3439861086378283,0.003467983183612855,0.34745409182144116,0.0,0.0,10000,4,2,8,7.0,9992.0
N_lixi,type_f1_1,Jour_Semis,1.9995457008108237e-05,0.3405472638036866,0.34055733740978256,0.006590689510289294,0.34714802692007185,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,type_f2_1,Jour_Semis,0.0007102333246488001,0.3405472638036866,0.34112882948120893,0.005681307109048128,0.34681013659025706,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,nb_f3,Jour_Semis,0.0027867228045025134,0.3405472638036866,0.34285704813524154,0.0034168073742228966,0.34627385550946443,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Jour_Semis,Dose_F2_1,0.3405472638036866,1.4393877810177807e-05,0.34055256837462666,0.005033259018833336,0.34558582739346,0.0,0.0,10000,4,2,8,7.0,9992.0
N_lixi,type_f3_1,Jour_Semis,0.00011270408736754523,0.3405472638036866,0.3407428732587373,0.004764226282845008,0.3455070995415823,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Jour_Semis,Dose_F3_1,0.3405472638036866,0.0006977195189940277,0.3413969935090513,0.0035910336721779457,0.34498802718122923,0.0,0.0,10000,4,2,8,7.0,9992.0
N_lixi,nb_f2,Jour_Semis,0.0008932829858287892,0.3405472638036866,0.3413811189298058,0.0030094897989849656,0.3443906087287908,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,type_f3_2,Jour_Semis,0.001427550944677778,0.3405472638036866,0.34180019265051365,0.0022322556934908366,0.3440324483440045,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Jour_Semis,Dose_F1_2,0.3405472638036866,0.0015871763606937475,0.34185817574248145,0.00191644158133919,0.34377461732382064,0.0,0.0,10000,4,2,8,7.0,9992.0
N_lixi,Jour_Semis,Dose_F2_2,0.3405472638036866,0.00016299593613953992,0.34054729904307646,0.00322298646209207,0.3437702855051685,0.0,0.0,10000,4,2,8,7.0,9992.0
N_lixi,Jour_Semis,Dose_F3_2,0.3405472638036866,0.0006167558999281275,0.3409942692507598,0.0007921165747807324,0.34178638582554055,0.0,0.0,10000,4,2,8,7.0,9992.0
N_lixi,Jours_semis_F1,Jours_op_recolte,0.03852178579565144,0.0816755160348915,0.12000647027645017,0.11065343410810424,0.23065990438455442,7.046328588383495e-273,0.0,10000,4,4,16,15.0,9984.0
N_lixi,n_ferti,Jours_op_recolte,0.03402173744854255,0.0816755160348915,0.1162648571725603,0.03901580166230123,0.15528065883486153,1.0648319440543056e-263,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Jours_av_PREPA,Jours_op_recolte,0.041258465222171005,0.0816755160348915,0.12194437325491403,0.0027287525455906847,0.12467312580050471,6.828996785167951e-279,1.1409253367770321e-278,10000,3,4,12,11.0,9988.0
N_lixi,Jours_op_recolte,Dose_F1_1,0.0816755160348915,0.01228457616795328,0.09381151885064243,0.01826668063759207,0.1120781994882345,1.928306042949637e-209,7.616431412086829e-244,10000,4,4,16,15.0,9984.0
N_lixi,has_prepa,Jours_op_recolte,0.02525211439207176,0.0816755160348915,0.1061685369092561,0.0012741436304922749,0.10744268053974837,1.3354162000554688e-241,4.8210587787365154e-241,10000,2,4,8,7.0,9992.0
N_lixi,nb_f1,Jours_op_recolte,0.01051088409006777,0.0816755160348915,0.09181007856279488,0.014244516893137882,0.10605459545593277,1.1319685230346909e-204,2.4209723287576757e-229,10000,4,4,16,15.0,9984.0
N_lixi,Jours_F1_F2,Jours_op_recolte,0.00150557640118911,0.0816755160348915,0.08356452612230358,0.016896100884625898,0.10046062700692948,1.6827417297613823e-187,3.289286581051006e-224,10000,2,4,8,7.0,9992.0
N_lixi,prepa_1,Jours_op_recolte,0.014301712205255047,0.0816755160348915,0.09519118110635683,0.0025296590994724477,0.09772084020582927,9.808067625433444e-213,1.8656713524124876e-209,10000,4,4,16,15.0,9984.0
N_lixi,type_f1_2,Jours_op_recolte,0.00024671321911458387,0.0816755160348915,0.08183477962677221,0.014210639522694524,0.09604541914946674,4.5536001302051194e-181,1.7542451487721968e-205,10000,4,4,16,15.0,9984.0
N_lixi,prepa_2,Jours_op_recolte,0.004660852874015987,0.0816755160348915,0.08709046104540652,0.0054087688588304594,0.09249922990423698,7.54007836875455e-196,3.5193409470174576e-205,10000,2,4,8,7.0,9992.0
N_lixi,type_f2_1,Jours_op_recolte,0.0007102333246488001,0.0816755160348915,0.08247580427105383,0.009708702155814097,0.09218450642686793,1.4112903522384857e-182,2.3367509833095718e-196,10000,4,4,16,15.0,9984.0
N_lixi,Jours_op_recolte,Dose_F2_1,0.0816755160348915,1.4393877810177807e-05,0.0817281851968441,0.009350598849207636,0.09107878404605174,3.6394061871840706e-183,8.378602888811208e-202,10000,4,2,8,7.0,9992.0
N_lixi,Jours_F2_F3,Jours_op_recolte,0.002942704231735233,0.0816755160348915,0.08507542475566932,0.005543597017916735,0.09061902177358605,4.4934442308592186e-191,1.0349875035201089e-200,10000,2,4,8,7.0,9992.0
N_lixi,type_f1_1,Jours_op_recolte,1.9995457008108237e-05,0.0816755160348915,0.08177929071238421,0.008580414278246185,0.0903597049906304,2.757447492674336e-183,4.270302102029592e-200,10000,2,4,8,7.0,9992.0
N_lixi,nb_prepa,Jours_op_recolte,0.008203532433891136,0.0816755160348915,0.08950263802951652,0.0006955283970833115,0.09019816642659984,1.4022353813903733e-201,1.032282619699453e-199,10000,2,4,8,7.0,9992.0
N_lixi,nb_f3,Jours_op_recolte,0.0027867228045025134,0.0816755160348915,0.08515097661600979,0.003233883767255419,0.0883848603832652,6.937932663014598e-189,2.0194798814090032e-187,10000,4,4,16,15.0,9984.0
N_lixi,type_f3_2,Jours_op_recolte,0.001427550944677778,0.0816755160348915,0.0830542710969776,0.0047572435732397,0.0878115146702173,6.125791411634229e-184,4.466928405630513e-186,10000,4,4,16,15.0,9984.0
N_lixi,nb_f2,Jours_op_recolte,0.0008932829858287892,0.0816755160348915,0.08250529531171191,0.005242654099042565,0.08774794941075448,5.3408422903165287e-185,6.599248552479504e-194,10000,2,4,8,7.0,9992.0
N_lixi,type_f3_1,Jours_op_recolte,0.00011270408736754523,0.0816755160348915,0.08180468618607084,0.005811854859588461,0.0876165410456593,5.359898772435782e-181,1.2796547529336323e-185,10000,4,4,16,15.0,9984.0
N_lixi,type_f2_2,Jours_op_recolte,0.005243183577709689,0.0816755160348915,0.0864056808377246,0.0009025908536463012,0.0873082716913709,7.512768275617778e-192,6.75382120592426e-185,10000,4,4,16,15.0,9984.0
N_lixi,Jours_op_recolte,Dose_F3_1,0.0816755160348915,0.0006977195189940277,0.08227554250155844,0.0041189892142774465,0.08639453171583589,1.8613460138389066e-184,1.0454216892450741e-190,10000,4,2,8,7.0,9992.0
N_lixi,Jours_op_recolte,Dose_F2_2,0.0816755160348915,0.00016299593613953992,0.0818999272587857,0.00328644966087277,0.08518637691965847,1.4321221272354512e-183,7.43714533439313e-188,10000,4,2,8,7.0,9992.0
N_lixi,Jours_op_recolte,Dose_F1_2,0.0816755160348915,0.0015871763606937475,0.0833922487023403,0.0017471327185692997,0.0851393814209096,4.296236741769322e-187,9.599941423977926e-188,10000,4,2,8,7.0,9992.0
N_lixi,Jours_op_recolte,Dose_F3_2,0.0816755160348915,0.0006167558999281275,0.08222114291212035,0.0024949014173782924,0.08471604432949864,2.501438929293069e-184,9.564169906664155e-187,10000,4,2,8,7.0,9992.0
N_lixi,Jours_av_PREPA,Jours_semis_F1,0.041258465222171005,0.03852178579565144,0.0792892570030358,0.004925894834044375,0.08421515183708017,3.152160154764689e-176,1.9510475504758342e-181,10000,3,4,12,11.0,9988.0
N_lixi,n_ferti,Jours_av_PREPA,0.03402173744854255,0.041258465222171005,0.07541454098832212,0.004129553883865489,0.07954409487218761,3.800355064058943e-167,1.6346965571281003e-170,10000,4,3,12,11.0,9988.0
N_lixi,n_ferti,Jours_semis_F1,0.03402173744854255,0.03852178579565144,0.07058472609088029,0.005067477684475574,0.07565220377535586,9.048257248775917e-155,1.631955409539305e-160,10000,4,4,13,12.0,9987.0
N_lixi,has_prepa,Jours_semis_F1,0.02525211439207176,0.03852178579565144,0.06315555011226204,0.0042509972389699335,0.06740654735123197,8.106077062810972e-140,2.4163768681404534e-146,10000,2,4,8,7.0,9992.0
N_lixi,n_ferti,has_prepa,0.03402173744854255,0.02525211439207176,0.05920909983809319,0.0034337678018746542,0.06264286763996785,1.0102150707888392e-130,2.2835677377766054e-135,10000,4,2,8,7.0,9992.0
N_lixi,Jours_av_PREPA,Dose_F1_1,0.041258465222171005,0.01228457616795328,0.054051929580113844,0.0026364712820639014,0.056688400862177746,8.609203766982183e-118,5.629129431857557e-118,10000,3,4,12,11.0,9988.0
N_lixi,prepa_1,Jours_semis_F1,0.014301712205255047,0.03852178579565144,0.052724833919256864,0.0027985003853059354,0.0555233343045628,1.015800978809762e-113,5.918169025848383e-112,10000,4,4,16,15.0,9984.0
N_lixi,Jours_semis_F1,Dose_F1_1,0.03852178579565144,0.01228457616795328,0.0447956504316952,0.010273094226226909,0.05506874465792211,8.992079180213064e-96,6.198715378081575e-111,10000,4,4,16,15.0,9984.0
N_lixi,nb_f1,Jours_av_PREPA,0.01051088409006777,0.041258465222171005,0.05181672486765432,0.0009121135870442387,0.05272883845469856,1.1896256669897975e-112,7.184857849042572e-110,9996,4,3,11,10.0,9985.0
N_lixi,nb_f1,Jours_semis_F1,0.01051088409006777,0.03852178579565144,0.043817829060268654,0.008658949509081193,0.05247677856934985,1.4288029823320514e-93,3.939510741185534e-105,10000,4,4,16,15.0,9984.0
N_lixi,n_ferti,prepa_1,0.03402173744854255,0.014301712205255047,0.0483405051747442,0.001966743188194231,0.05030724836293843,8.95046824506635e-104,2.7232415744459703e-100,10000,4,4,16,15.0,9984.0
N_lixi,type_f2_1,Jours_semis_F1,0.0007102333246488001,0.03852178579565144,0.041005789758350675,0.008514693152657404,0.04952048291100808,2.950445528389615e-87,1.534928316729209e-98,10000,4,4,16,15.0,9984.0
N_lixi,Jours_semis_F1,Jours_F2_F3,0.03852178579565144,0.002942704231735233,0.04359082812441306,0.005080047161972634,0.048670875286385695,4.0475214662651e-95,1.5432088853865771e-103,10000,4,2,8,7.0,9992.0
N_lixi,Jours_semis_F1,Jours_F1_F2,0.03852178579565144,0.00150557640118911,0.042636632366011784,0.005985920315096704,0.04862255268110849,5.779704631159618e-93,1.984080096273904e-103,10000,4,2,8,7.0,9992.0
N_lixi,nb_prepa,Jours_semis_F1,0.008203532433891136,0.03852178579565144,0.04634193084136762,0.0015107477416559378,0.047852678583023556,2.4074399717472752e-101,1.0848922189595174e-101,10000,2,4,8,7.0,9992.0
N_lixi,prepa_2,Jours_av_PREPA,0.004660852874015987,0.041258465222171005,0.04607009657327632,0.0007125347990108999,0.04678263137228722,7.207332234498503e-102,2.8479356417612815e-101,10000,2,3,6,5.0,9994.0
N_lixi,type_f1_2,Jours_semis_F1,0.00024671321911458387,0.03852178579565144,0.038830104190894166,0.007776970330885535,0.0466070745217797,2.188777542934273e-82,4.475385354400622e-92,10000,4,4,16,15.0,9984.0
N_lixi,prepa_2,Jours_semis_F1,0.004660852874015987,0.03852178579565144,0.040209763624606376,0.0060782673388452,0.046288030963451576,1.7038752783161742e-87,3.64761878764502e-98,10000,2,4,8,7.0,9992.0
N_lixi,Jours_semis_F1,Dose_F3_1,0.03852178579565144,0.0006977195189940277,0.04024775278069448,0.0060204439852394875,0.04626819676593397,1.3993900920283746e-87,4.042679388737365e-98,10000,4,2,8,7.0,9992.0
N_lixi,Jours_av_PREPA,Jours_F2_F3,0.041258465222171005,0.002942704231735233,0.04417884165665131,0.0020017278069285327,0.046180569463579846,1.503994972709586e-97,5.996833458408854e-101,9997,3,2,5,4.0,9992.0
N_lixi,type_f2_2,Jours_semis_F1,0.005243183577709689,0.03852178579565144,0.043835254700119286,0.0019921781682324946,0.04582743286835178,1.305479794825648e-93,2.3745754990813354e-90,10000,4,4,16,15.0,9984.0
N_lixi,nb_f2,Jours_semis_F1,0.0008932829858287892,0.03852178579565144,0.04078586296493569,0.005029156477921903,0.045815019442857596,8.599103576906697e-89,4.234093555724839e-97,10000,2,4,8,7.0,9992.0
N_lixi,type_f1_1,Jours_semis_F1,1.9995457008108237e-05,0.03852178579565144,0.03930293756267533,0.006396820763340472,0.045699758326015805,1.8673720608990457e-85,7.693352338133015e-97,10000,2,4,8,7.0,9992.0
N_lixi,type_f3_2,Jours_semis_F1,0.001427550944677778,0.03852178579565144,0.041021053456096745,0.004541247483112021,0.045562300939208766,2.7269128689519546e-87,9.153954526674493e-90,10000,4,4,16,15.0,9984.0
N_lixi,type_f3_1,Jours_semis_F1,0.00011270408736754523,0.03852178579565144,0.0392663423964259,0.005635290733217557,0.04490163312964346,2.3161881857155026e-83,2.634782745408464e-88,10000,4,4,16,15.0,9984.0
N_lixi,nb_f3,Jours_av_PREPA,0.0027867228045025134,0.041258465222171005,0.04427693434666369,0.00045523238728439885,0.04473216673394809,1.5993010290077326e-95,1.1995607123886758e-93,9991,4,3,9,8.0,9982.0
N_lixi,Jours_av_PREPA,Jours_F1_F2,0.041258465222171005,0.00150557640118911,0.04267982127895287,0.0019370311961165454,0.04461685247506941,3.4827298941474655e-94,2.2334478250422857e-96,10000,3,2,6,5.0,9994.0
N_lixi,nb_f3,Jours_semis_F1,0.0027867228045025134,0.03852178579565144,0.039471512536431774,0.00461122667340208,0.044082739209833854,8.05048984713356e-84,1.686760342536932e-86,10000,4,4,16,15.0,9984.0
N_lixi,type_f3_2,Jours_av_PREPA,0.001427550944677778,0.041258465222171005,0.04280102377975559,0.0011144685443793545,0.04391549232413494,3.0901114070375165e-92,7.394885877561032e-92,9995,4,3,9,8.0,9986.0
N_lixi,Jours_semis_F1,Dose_F2_1,0.03852178579565144,1.4393877810177807e-05,0.03900825568273991,0.004830733645737384,0.043838989328477296,8.582544028282443e-85,1.168917785799762e-92,10000,4,2,8,7.0,9992.0
N_lixi,has_prepa,Jours_av_PREPA,0.02525211439207176,0.041258465222171005,0.043748249377002946,0.0,0.043748249377002946,1.328569128217395e-96,1.328569128217395e-96,10000,2,3,4,3.0,9996.0
N_lixi,type_f2_1,Jours_av_PREPA,0.0007102333246488001,0.041258465222171005,0.04221846643247695,0.0015043707694147868,0.04372283720189174,6.45813237606255e-91,2.040385118579613e-91,9994,4,3,9,8.0,9985.0
N_lixi,type_f1_2,Jours_av_PREPA,0.00024671321911458387,0.041258465222171005,0.04153058968769274,0.0021173845004954783,0.04364797418818822,2.2254969132234645e-89,2.2908520353918303e-90,9995,4,3,10,9.0,9985.0
N_lixi,Jours_av_PREPA,Dose_F2_1,0.041258465222171005,1.4393877810177807e-05,0.04129457750431198,0.002333632344509562,0.04362820984882154,4.713958623129471e-91,3.793171050600304e-94,10000,3,2,6,5.0,9994.0
N_lixi,n_ferti,nb_prepa,0.03402173744854255,0.008203532433891136,0.04236233803226774,0.0012625616004355855,0.04362489963270333,2.4036131978281483e-92,3.533900777411236e-92,10000,4,2,8,7.0,9992.0
N_lixi,nb_f2,Jours_av_PREPA,0.0008932829858287892,0.041258465222171005,0.04226934290137685,0.0010042747276189923,0.04327361762899584,2.9535204980363625e-93,2.388862903796102e-93,10000,2,3,6,5.0,9994.0
N_lixi,Jours_semis_F1,Dose_F3_2,0.03852178579565144,0.0006167558999281275,0.039972629637191615,0.0031851726142725356,0.04315780225146415,5.821700069211707e-87,3.945201065410223e-91,10000,4,2,8,7.0,9992.0
N_lixi,Jours_av_PREPA,Dose_F1_2,0.041258465222171005,0.0015871763606937475,0.04277127327135222,0.0002910287517089438,0.04306230202306116,2.3090221321197816e-94,6.753321632433711e-94,9997,3,2,5,4.0,9992.0
N_lixi,type_f1_1,Jours_av_PREPA,1.9995457008108237e-05,0.041258465222171005,0.041266803138279906,0.001758577054380539,0.043025380192660445,5.446573484401086e-91,8.659080939294076e-93,10000,2,3,6,5.0,9994.0
N_lixi,Jours_av_PREPA,Dose_F3_1,0.041258465222171005,0.0006977195189940277,0.04185993274596855,0.0008374882046522369,0.04269742095062079,2.4884372910974613e-92,4.743613028852445e-92,10000,3,2,6,5.0,9994.0
N_lixi,prepa_1,Jours_av_PREPA,0.014301712205255047,0.041258465222171005,0.04240969714332332,0.00028438852832202155,0.04269408567164534,2.108076820426639e-91,1.3744216529974707e-86,10000,4,3,12,11.0,9988.0
