sortie,somme_R2_additif,somme_R2_interaction,somme_R2_global
N_lixi,15.6319945159082,0.8034611538021034,16.435455669710304
dCorg,56.574378448692876,2.7652380888570036,59.33961653754988
rdt,57.31043039029313,3.7195219385759635,61.02995232886909
