annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;303;beauce_5_sa_000;solnu;;934.41;1.71;0.0;6.39;0.0;0.0;0.0;940.8;0.07
2019;304;365;beauce_5_sa_000;orgeh;orgeH_tousSols_nonirr_organique;424.04;1.71;36.53;2.86;0.0;0.9;0.0;464.34;0.07
2019;213;277;beauce_5_sa_001;solnu;;782.96;1.71;0.0;5.37;0.0;0.0;0.0;788.33;0.07
2019;278;365;beauce_5_sa_001;orgeh;orgeH_tousSols_nonirr_organique;576.06;1.71;24.74;3.89;0.0;1.06;0.0;605.74;0.07
2019;213;303;beauce_5_sa_002;solnu;;934.59;1.71;0.0;6.39;0.0;0.0;0.0;940.98;0.07
2019;304;365;beauce_5_sa_002;orgeh;orgeH_tousSols_nonirr_organique;424.08;1.71;36.54;2.86;0.0;0.93;0.0;464.42;0.07
2019;213;274;beauce_5_sa_003;solnu;;767.29;1.71;0.0;5.26;0.0;0.0;0.0;772.54;0.07
2019;275;365;beauce_5_sa_003;orgeh;orgeH_tousSols_nonirr_organique;591.67;1.71;22.54;4.0;0.0;1.08;0.0;619.29;0.07
2019;213;318;beauce_5_sa_004;solnu;;1064.17;1.71;12.95;7.26;0.0;0.0;0.0;1084.38;0.07
2019;319;365;beauce_5_sa_004;orgeh;orgeH_tousSols_nonirr_organique;294.51;1.71;24.39;2.0;0.0;0.95;0.0;321.84;0.07
2019;213;306;beauce_5_sa_005;solnu;;953.5;1.71;1.86;6.53;0.0;0.0;0.0;961.89;0.07
2019;307;365;beauce_5_sa_005;orgeh;orgeH_tousSols_nonirr_organique;405.17;1.71;34.81;2.73;0.0;0.94;0.0;443.65;0.07
2019;213;277;beauce_5_sa_006;solnu;;782.96;1.71;0.0;5.37;0.0;0.0;0.0;788.33;0.07
2019;278;365;beauce_5_sa_006;orgeh;orgeH_tousSols_nonirr_organique;576.06;1.71;24.74;3.89;0.0;1.06;0.0;605.74;0.07
2019;213;315;beauce_5_sa_007;solnu;;1034.72;1.71;10.91;7.09;0.0;0.0;0.0;1052.72;0.07
2019;316;365;beauce_5_sa_007;orgeh;orgeH_tousSols_nonirr_organique;324.06;1.71;26.27;2.17;0.0;0.95;0.0;353.44;0.07
2019;213;316;beauce_5_sa_008;solnu;;1043.42;1.71;11.15;7.13;0.0;0.0;0.0;1061.71;0.07
2019;317;365;beauce_5_sa_008;orgeh;orgeH_tousSols_nonirr_organique;315.2;1.71;26.12;2.13;0.0;0.93;0.0;344.38;0.07
2019;213;286;beauce_5_sa_009;solnu;;825.98;1.71;0.0;5.66;0.0;0.0;0.0;831.64;0.07
2019;287;365;beauce_5_sa_009;orgeh;orgeH_tousSols_nonirr_organique;532.84;1.71;29.64;3.6;0.0;0.97;0.0;567.05;0.07
2019;213;277;beauce_5_sa_010;solnu;;782.96;1.71;0.0;5.37;0.0;0.0;0.0;788.33;0.07
2019;278;365;beauce_5_sa_010;orgeh;orgeH_tousSols_nonirr_organique;576.06;1.71;24.74;3.89;0.0;1.06;0.0;605.74;0.07
2019;213;274;beauce_5_sa_011;solnu;;766.93;1.71;0.0;5.26;0.0;0.0;0.0;772.19;0.07
2019;275;365;beauce_5_sa_011;orgeh;orgeH_tousSols_nonirr_organique;590.27;1.71;23.63;3.99;0.0;1.03;0.0;618.92;0.07
2019;213;284;beauce_5_sa_012;solnu;;818.4;1.71;0.0;5.58;0.0;0.0;0.0;823.99;0.07
2019;285;365;beauce_5_sa_012;orgeh;orgeH_tousSols_nonirr_organique;539.17;1.71;28.88;3.67;0.0;0.93;0.0;572.65;0.07
2019;213;297;beauce_5_sa_013;solnu;;893.11;1.71;0.0;6.13;0.0;0.0;0.0;899.24;0.07
2019;298;365;beauce_5_sa_013;orgeh;orgeH_tousSols_nonirr_organique;465.58;1.71;35.78;3.12;0.0;0.94;0.0;505.43;0.07
2019;213;267;beauce_5_sa_014;solnu;;704.39;1.71;0.0;4.88;0.0;0.0;0.0;709.27;0.07
2019;268;365;beauce_5_sa_014;orgeh;orgeH_tousSols_nonirr_organique;653.87;1.71;16.3;4.37;0.0;1.21;0.0;675.76;0.07
2019;213;266;beauce_5_sa_015;solnu;;697.33;1.71;0.0;4.79;0.0;0.0;0.0;702.12;0.07
2019;267;365;beauce_5_sa_015;orgeh;orgeH_tousSols_nonirr_organique;666.26;1.71;13.37;4.5;0.0;1.23;0.0;685.36;0.07
2019;213;293;beauce_5_sa_016;solnu;;865.27;1.71;0.0;5.93;0.0;0.0;0.0;871.2;0.07
2019;294;365;beauce_5_sa_016;orgeh;orgeH_tousSols_nonirr_organique;493.43;1.71;34.75;3.33;0.0;0.94;0.0;532.45;0.07
2019;213;278;beauce_5_sa_017;solnu;;790.91;1.71;0.0;5.4;0.0;0.0;0.0;796.32;0.07
2019;279;365;beauce_5_sa_017;orgeh;orgeH_tousSols_nonirr_organique;567.79;1.71;25.79;3.86;0.0;1.03;0.0;598.47;0.07
2019;213;292;beauce_5_sa_018;solnu;;855.53;1.71;0.0;5.88;0.0;0.0;0.0;861.41;0.07
2019;293;365;beauce_5_sa_018;orgeh;orgeH_tousSols_nonirr_organique;503.02;1.71;34.0;3.38;0.0;0.93;0.0;541.33;0.07
2019;213;273;beauce_5_sa_019;solnu;;759.79;1.71;0.0;5.21;0.0;0.0;0.0;765.0;0.07
2019;274;365;beauce_5_sa_019;orgeh;orgeH_tousSols_nonirr_organique;599.22;1.71;21.23;4.05;0.0;1.09;0.0;625.58;0.07
