sortie,best_params,CV_R2_mean,R2_train,Q2_test,MAE_test,RMSE_test,n_train,n_test
N_lixi,"{'tree__ccp_alpha': 0.0, 'tree__max_depth': 5, 'tree__min_samples_leaf': 37}",0.6027796816009341,0.6244567057351011,0.5836030004952487,0.39076165708956506,0.5010480938708843,7500,2500
dCorg,"{'tree__ccp_alpha': 0.0, 'tree__max_depth': 5, 'tree__min_samples_leaf': 37}",0.8708835298000892,0.8844225474205974,0.8704686019887573,21.935820630077195,33.40555836155751,7500,2500
rdt,"{'tree__ccp_alpha': 0.0, 'tree__max_depth': 5, 'tree__min_samples_leaf': 37}",0.8062906065502838,0.8265495011438997,0.8079530184909949,0.10169626340316713,0.15296033174261314,7500,2500
