annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;213;296;sudouest_1_1;solnu;;166.87;0.0;84.87;1.09;0.0;45.23;81.7;54.37;99.95;-1.0;-1.0;0.0;280.4;0.0;0.0
2019;297;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;43.9;0.06;194.77;0.23;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.55;232.03;0.0;284.18
2019;213;307;beauce_1_1;solnu;;112.14;0.0;4.96;0.36;0.0;45.23;81.7;56.54;102.12;-1.0;-1.0;0.0;139.25;0.0;0.0
2019;308;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;24.52;0.0;53.04;0.06;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.27;76.66;0.0;374.6
2019;213;271;sudouest_2_1;solnu;;133.77;0.0;51.72;0.74;0.0;45.23;81.7;49.06;94.64;-1.0;-1.0;0.0;198.44;0.0;0.0
2019;272;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;72.44;1.07;231.46;0.53;0.0;47.2;92.78;56.54;102.12;-1.0;-1.0;98.93;313.99;0.0;492.27
2019;213;318;sudouest_3_1;solnu;;174.4;0.0;155.77;8.81;0.0;45.53;248.32;54.79;308.27;-1.0;-1.0;0.0;390.13;0.0;0.0
2019;319;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;23.16;0.0;95.49;1.56;0.0;53.89;307.37;56.91;310.4;-1.0;-1.0;97.87;122.31;0.0;132.19
2019;213;312;sudouest_4_1;solnu;;169.92;0.0;153.43;8.1;0.0;45.53;248.32;54.69;308.18;-1.0;-1.0;0.0;383.81;0.0;0.0
2019;313;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;27.47;0.01;97.99;1.79;0.0;54.82;308.3;56.91;310.4;-1.0;-1.0;98.11;128.62;0.0;173.87
2019;213;263;sudouest_5_1;solnu;;112.11;0.0;14.15;3.17;0.0;45.53;248.32;50.86;304.35;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;264;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;77.6;2.9;242.06;7.46;0.0;48.65;302.14;59.38;310.4;-1.0;-1.0;99.02;330.14;0.0;585.24
2019;213;261;beauce_2_1;solnu;;80.16;0.0;0.0;0.26;0.0;45.23;81.7;12.77;49.23;-1.0;-1.0;0.0;62.33;0.0;0.0
2019;262;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;50.54;2.13;61.84;0.07;0.0;27.16;63.63;78.25;102.12;-1.0;-1.0;83.29;153.57;0.0;934.6
2019;213;292;sudouest_6_1;solnu;;150.59;0.0;53.99;7.57;0.0;45.53;248.32;56.91;310.4;-1.0;-1.0;0.0;266.66;0.0;0.0
2019;293;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;46.01;0.17;198.06;3.87;0.0;55.2;308.69;56.91;310.4;-1.0;-1.0;98.63;245.77;0.0;311.77
2019;213;303;sudouest_7_1;solnu;;172.99;0.0;140.73;1.08;0.0;45.23;81.7;55.94;101.52;-1.0;-1.0;0.0;352.12;0.0;0.0
2019;304;365;sudouest_7_1;maisT;mais_tousSols_irr_organique;38.19;0.02;138.54;0.18;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.39;160.32;0.0;233.48
2019;213;264;sudouest_8_1;solnu;;119.16;0.0;51.72;0.61;0.0;45.23;81.7;47.52;93.1;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;265;365;sudouest_8_1;maisT;mais_tousSols_irr_mineral;84.74;1.81;233.04;0.38;0.0;45.2;90.78;58.28;102.12;-1.0;-1.0;99.0;330.14;0.0;576.42
2019;213;309;sudouest_9_1;solnu;;178.94;0.0;164.82;2.45;0.0;51.17;154.15;63.97;192.68;-1.0;-1.0;0.0;383.2;0.0;0.0
2019;310;365;sudouest_9_1;maisT;mais_tousSols_nonirr_organique;32.68;0.01;95.91;0.66;0.0;63.97;192.68;63.97;192.68;-1.0;-1.0;98.21;129.23;0.0;195.73
2019;213;300;beauce_3_1;solnu;;111.91;0.0;0.0;0.01;0.0;45.53;248.32;44.48;247.27;-1.0;-1.0;0.0;111.67;0.0;0.0
