annee;date;parcelle;exploitation;culture;situation;masse_C[kg/ha];masse_N[kg/ha];ratio_CN;nom_produit;type_residu;type_pool;Kres;Hres;CNbio;Yres
2020;115;sudouest_1_1;organique_sudouest_1;maisT;incorpore;1167.0;8.483804946965359;137.55620353075582;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;115;sudouest_1_1;organique_sudouest_1;maisT;surface;1035.1748707874995;7.525468457378931;137.55620353075585;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;203;beauce_1_1;organique_beauce_1;orgeh;incorpore;644.0;6.426012839848094;100.21766467793482;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;203;beauce_1_1;organique_beauce_1;orgeh;surface;1613.5556570633162;16.10051144425217;100.21766467793483;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;155;sudouest_2_1;mineral_sudouest_2;maisT;incorpore;1167.0;9.261685800985324;126.00297883953763;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;155;sudouest_2_1;mineral_sudouest_2;maisT;surface;1426.8554155530292;11.323981612927598;126.0029788395376;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;320;sudouest_3_1;organique_sudouest_3;maisT;incorpore;1167.0;11.046303471245764;105.64620128695321;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;320;sudouest_3_1;organique_sudouest_3;maisT;surface;2576.6753149242536;24.389663646547607;105.6462012869532;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;131;sudouest_4_1;mineral_sudouest_4;maisT;incorpore;1167.0;8.598422019743952;135.72257762183574;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;131;sudouest_4_1;mineral_sudouest_4;maisT;surface;1085.9431812722758;8.001197739539275;135.7225776218357;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;241;sudouest_5_1;organique_sudouest_5;maisT;incorpore;1167.0;11.047285490163583;105.63681015024801;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;241;sudouest_5_1;organique_sudouest_5;maisT;surface;2577.2999250068774;24.397744700366893;105.63681015024802;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;128;beauce_2_1;mineral_beauce_2;orgeh;incorpore;644.0;6.196849058433567;103.92378351116231;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;128;beauce_2_1;mineral_beauce_2;orgeh;surface;1443.322523227925;13.888279222175354;103.9237835111623;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;240;sudouest_6_1;mineral_sudouest_6;maisT;incorpore;1167.0;10.586773360097023;110.23188655370487;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;240;sudouest_6_1;mineral_sudouest_6;maisT;surface;2276.753583936836;20.65421952864432;110.23188655370487;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;246;sudouest_7_1;organique_sudouest_7;maisT;incorpore;1167.0;10.011005391373821;116.57170827273437;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;246;sudouest_7_1;organique_sudouest_7;maisT;surface;1893.0249621323985;16.23914575999371;116.5717082727344;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;248;sudouest_8_1;mineral_sudouest_8;maisT;incorpore;1167.0;10.015993516362903;116.51365369730905;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;248;sudouest_8_1;mineral_sudouest_8;maisT;surface;1896.312223010649;16.27545066895834;116.51365369730905;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;264;sudouest_9_1;organique_sudouest_9;maisT;incorpore;1167.0;10.270156810246412;113.63020268937842;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;264;sudouest_9_1;organique_sudouest_9;maisT;surface;2065.2461472658397;18.17515148601322;113.63020268937842;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;148;beauce_3_1;organique_beauce_3;orgeh;incorpore;644.0;6.285387293706374;102.45987556643394;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;148;beauce_3_1;organique_beauce_3;orgeh;surface;1509.8239005450441;14.735757702204992;102.45987556643395;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;210;beauce_4_1;mineral_beauce_4;orgeh;incorpore;644.0;6.879929358094031;93.60561227890419;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;210;beauce_4_1;mineral_beauce_4;orgeh;surface;1922.4136403607379;20.537375842730217;93.60561227890419;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;110;beauce_5_1;organique_beauce_5;orgeh;incorpore;644.0;6.244348870470127;103.13325109772643;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;110;beauce_5_1;organique_beauce_5;orgeh;surface;1479.08836124557;14.341527543275289;103.13325109772643;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;129;beauce_6_1;mineral_beauce_6;orgeh;incorpore;644.0;6.52702443691822;98.6667058204043;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;129;beauce_6_1;mineral_beauce_6;orgeh;surface;1686.1098388101173;17.088944287642665;98.66670582040429;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;201;beauce_7_1;organique_beauce_7;orgeh;incorpore;644.0;6.646016520733472;96.90015033681055;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;201;beauce_7_1;organique_beauce_7;orgeh;surface;1768.9911391016033;18.255814185559593;96.90015033681055;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;350;beauce_8_1;mineral_beauce_8;orgeh;incorpore;644.0;6.338614116181921;101.59949607216583;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;350;beauce_8_1;mineral_beauce_8;orgeh;surface;1549.4060699083993;15.250135382638714;101.59949607216585;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;122;sudouest_10_1;mineral_sudouest_10;maisT;incorpore;1167.0;8.208322560956757;142.17277541587927;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;122;sudouest_10_1;mineral_sudouest_10;maisT;surface;922.7881018797979;6.490610450421944;142.17277541587924;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;255;sudouest_11_1;organique_sudouest_11;maisT;incorpore;1167.0;10.210356678046539;114.29571334262852;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;255;sudouest_11_1;organique_sudouest_11;maisT;surface;2025.3108766727905;17.719919824127093;114.29571334262852;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;283;oceanique_1_1;organique_oceanique_1;CP;incorpore;846.0;7.766920887325293;108.9234733136748;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;283;oceanique_1_1;organique_oceanique_1;CP;surface;1650.0983652323964;15.149153024899315;108.9234733136748;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;280;oceanique_2_1;mineral_oceanique_2;CP;incorpore;846.0;7.538954845526258;112.2171464526055;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;280;oceanique_2_1;mineral_oceanique_2;CP;surface;1482.1252984376426;13.207654492119998;112.21714645260549;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;338;sudouest_12_1;mineral_sudouest_12;maisT;incorpore;1167.0;10.111964282258905;115.40784435398587;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;338;sudouest_12_1;mineral_sudouest_12;maisT;surface;1959.8131028916205;16.981628188811538;115.40784435398584;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;318;sudouest_13_1;organique_sudouest_13;maisT;incorpore;1167.0;10.036744694549943;116.27275929751337;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;318;sudouest_13_1;organique_sudouest_13;maisT;surface;1910.002772894183;16.4269153362651;116.27275929751337;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;163;sudouest_14_1;mineral_sudouest_14;maisT;incorpore;1167.0;8.973807936694609;130.04512780221705;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;163;sudouest_14_1;mineral_sudouest_14;maisT;surface;1269.158910456387;9.759373010779957;130.04512780221702;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;142;sudouest_15_1;organique_sudouest_15;maisT;incorpore;1167.0;8.598188210275172;135.72626830910602;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;142;sudouest_15_1;organique_sudouest_15;maisT;surface;1085.8371682316463;8.000199090118183;135.726268309106;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;244;sudouest_16_1;mineral_sudouest_16;maisT;incorpore;1167.0;10.945246828458991;106.62162473720156;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;244;sudouest_16_1;mineral_sudouest_16;maisT;surface;2511.9597557320867;23.559571165075617;106.62162473720154;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;217;oceanique_3_1;organique_oceanique_3;CP;incorpore;846.0;7.694057905168215;109.95498219889001;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;217;oceanique_3_1;organique_oceanique_3;CP;surface;1596.2770568370438;14.517550955077668;109.95498219889002;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
