annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;278;sudouest_1_1;solnu;;1607.94;5.48;3990.27;11.21;0.0;22.46;0.0;5631.88;0.07
2019;279;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;780.56;5.47;346.99;5.36;0.0;72.17;0.0;1205.07;0.07
2019;213;269;beauce_1_1;solnu;;855.07;5.49;4071.76;5.99;0.0;0.0;0.0;4932.82;0.07
2019;270;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;603.77;5.48;518.62;4.13;0.0;7.43;0.0;1133.94;0.07
2019;213;295;sudouest_2_1;solnu;;1820.4;5.48;4337.26;12.67;0.0;28.82;0.0;6199.15;0.07
2019;296;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;567.88;5.47;0.0;3.9;0.0;66.88;0.0;638.66;0.07
2019;213;304;sudouest_3_1;solnu;;2246.65;1.7;144.18;15.34;0.0;41.95;0.0;2448.12;0.07
2019;305;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;566.3;1.69;34.48;3.82;0.0;42.6;0.0;647.2;0.07
2019;213;307;sudouest_4_1;solnu;;2284.91;1.7;148.71;15.68;0.0;51.93;0.0;2501.23;0.07
2019;308;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;528.09;1.69;29.94;3.48;0.0;32.71;0.0;594.23;0.07
2019;213;267;sudouest_5_1;solnu;;1647.39;1.7;71.97;11.28;0.0;1.68;0.0;1732.33;0.07
2019;268;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;1166.44;1.69;73.8;7.89;0.0;79.16;0.0;1327.3;0.07
2019;213;270;beauce_2_1;solnu;;865.49;5.49;4129.7;6.07;0.0;0.0;0.0;5001.26;0.07
2019;271;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;593.31;5.48;555.86;4.04;0.0;7.38;0.0;1160.59;0.07
2019;213;263;sudouest_6_1;solnu;;1574.05;1.7;71.97;10.87;0.0;1.68;0.0;1658.57;0.07
2019;264;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;1240.0;1.69;66.94;8.31;0.0;75.33;0.0;1390.58;0.07
2019;213;318;sudouest_7_1;solnu;;2075.32;5.47;4337.26;14.44;0.0;76.39;0.0;6503.41;0.07
2019;319;365;sudouest_7_1;maisT;mais_tousSols_irr_organique;312.89;5.47;0.0;2.13;0.0;19.16;0.0;334.19;0.07
2019;213;316;sudouest_8_1;solnu;;2052.56;5.47;4337.26;14.25;0.0;76.39;0.0;6480.46;0.07
2019;317;365;sudouest_8_1;maisT;mais_tousSols_irr_mineral;335.66;5.47;0.0;2.32;0.0;19.16;0.0;357.14;0.07
2019;213;300;sudouest_9_1;solnu;;1749.16;3.08;6637.29;12.19;0.0;15.49;0.0;8414.14;0.07
2019;301;365;sudouest_9_1;maisT;mais_tousSols_nonirr_organique;487.85;3.07;1096.42;3.33;0.0;57.21;0.0;1644.81;0.07
2019;213;302;beauce_3_1;solnu;;929.06;1.71;0.0;6.35;0.0;0.0;0.0;935.41;0.07
2019;303;365;beauce_3_1;orgeh;orgeH_tousSols_irr_organique;429.61;1.71;36.43;2.91;0.0;0.93;0.0;469.88;0.07
2019;213;277;beauce_4_1;solnu;;782.65;1.71;0.0;5.37;0.0;0.0;0.0;788.02;0.07
2019;278;365;beauce_4_1;orgeh;orgeH_tousSols_irr_mineral;574.42;1.71;26.03;3.88;0.0;0.98;0.0;605.31;0.07
2019;213;265;beauce_5_1;solnu;;688.11;1.71;0.0;4.74;0.0;0.0;0.0;692.85;0.07
2019;266;365;beauce_5_1;orgeh;orgeH_tousSols_nonirr_organique;669.33;1.71;14.88;4.51;0.0;1.2;0.0;689.92;0.07
2019;213;300;beauce_6_1;solnu;;914.26;1.71;0.0;6.27;0.0;0.0;0.0;920.52;0.07
2019;301;365;beauce_6_1;orgeh;orgeH_tousSols_nonirr_mineral;444.39;1.71;36.3;2.99;0.0;0.92;0.0;484.61;0.07
2019;213;260;beauce_7_1;solnu;;751.97;5.49;3485.12;5.26;0.0;0.0;0.0;4242.35;0.07
2019;261;365;beauce_7_1;orgeh;orgeH_tousSols_irr_organique;707.34;5.48;736.58;4.86;0.0;10.51;0.0;1459.29;0.07
2019;213;295;beauce_8_1;solnu;;1056.75;5.49;5188.47;7.36;0.0;0.0;0.0;6252.57;0.07
2019;296;365;beauce_8_1;orgeh;orgeH_tousSols_irr_mineral;401.53;5.48;600.25;2.75;0.0;7.46;0.0;1012.0;0.07
2019;213;270;sudouest_10_1;solnu;;1365.01;3.08;4612.01;9.56;0.0;7.26;0.0;5993.84;0.07
2019;271;365;sudouest_10_1;maisT;mais_tousSols_nonirr_mineral;872.48;3.07;2130.19;5.96;0.0;64.58;0.0;3073.21;0.07
2019;213;277;sudouest_11_1;solnu;;1488.93;3.08;5243.14;10.38;0.0;8.15;0.0;6750.61;0.07
2019;278;365;sudouest_11_1;maisT;mais_tousSols_irr_organique;748.39;3.07;1757.75;5.15;0.0;63.96;0.0;2575.24;0.07
2019;213;279;oceanique_1_1;solnu;;806.07;1.71;0.0;5.51;0.0;0.0;0.0;811.58;0.07
2019;280;365;oceanique_1_1;CP;ble_tousSols_nonirr_organique;681.04;1.7;33.39;4.66;0.0;17.03;0.0;736.12;0.07
2019;213;260;oceanique_2_1;solnu;;711.3;5.49;3276.28;5.06;0.0;0.0;0.0;3992.64;0.07
2019;261;365;oceanique_2_1;CP;ble_tousSols_nonirr_mineral;830.59;5.48;995.63;5.67;0.0;37.25;0.0;1869.14;0.07
2019;213;284;sudouest_12_1;solnu;;1574.86;3.08;5736.13;10.99;0.0;8.15;0.0;7330.14;0.07
2019;285;365;sudouest_12_1;maisT;mais_tousSols_irr_mineral;662.29;3.07;1515.72;4.53;0.0;64.74;0.0;2247.28;0.07
2019;213;293;sudouest_13_1;solnu;;1793.45;5.48;4337.26;12.49;0.0;28.82;0.0;6172.02;0.07
2019;294;365;sudouest_13_1;maisT;mais_tousSols_nonirr_organique;594.84;5.47;0.0;4.08;0.0;66.91;0.0;665.83;0.07
2019;213;284;sudouest_14_1;solnu;;1688.0;5.48;4253.49;11.78;0.0;22.46;0.0;5975.73;0.07
2019;285;365;sudouest_14_1;maisT;mais_tousSols_nonirr_mineral;700.4;5.47;83.77;4.79;0.0;73.28;0.0;862.23;0.07
2019;213;310;sudouest_15_1;solnu;;2335.06;1.69;150.86;15.94;0.0;52.45;0.0;2554.3;0.07
2019;311;365;sudouest_15_1;maisT;mais_tousSols_irr_organique;477.96;1.69;27.79;3.23;0.0;32.22;0.0;541.2;0.07
2019;213;270;sudouest_16_1;solnu;;1704.8;1.7;75.0;11.73;0.0;1.74;0.0;1793.27;0.07
2019;271;365;sudouest_16_1;maisT;mais_tousSols_irr_mineral;1109.21;1.69;75.55;7.44;0.0;81.54;0.0;1273.74;0.07
2019;213;311;oceanique_3_1;solnu;;1186.16;5.49;6203.73;8.28;0.0;19.87;0.0;7418.05;0.07
2019;312;365;oceanique_3_1;CP;ble_tousSols_nonirr_organique;355.33;5.48;0.0;2.44;0.0;31.51;0.0;389.28;0.07
2019;213;311;oceanique_4_1;solnu;;1050.66;1.71;26.49;7.23;0.0;0.0;0.0;1084.39;0.07
2019;312;365;oceanique_4_1;CP;ble_tousSols_nonirr_mineral;436.25;1.7;39.95;2.94;0.0;25.12;0.0;504.26;0.07
2019;213;298;sudouest_17_1;solnu;;2165.46;1.7;117.48;14.82;0.0;13.28;0.0;2311.03;0.07
2019;299;365;sudouest_17_1;maisT;mais_tousSols_nonirr_organique;647.53;1.69;61.23;4.35;0.0;71.31;0.0;784.42;0.07
2019;213;309;beauce_9_1;solnu;;965.04;3.09;779.2;6.7;0.0;0.0;0.0;1750.94;0.07
2019;310;365;beauce_9_1;orgeh;orgeH_tousSols_nonirr_organique;292.03;3.08;2072.16;2.01;0.0;3.13;0.0;2369.34;0.07
2019;213;260;oceanique_5_1;solnu;;597.45;3.09;331.07;4.25;0.0;0.0;0.0;932.77;0.07
2019;261;365;oceanique_5_1;CP;ble_tousSols_nonirr_organique;747.41;3.08;186.79;5.11;0.0;16.79;0.0;956.09;0.07
2019;213;268;sudouest_18_1;solnu;;1660.55;1.7;74.71;11.44;0.0;1.74;0.0;1748.43;0.07
2019;269;365;sudouest_18_1;maisT;mais_tousSols_nonirr_mineral;1153.22;1.69;73.32;7.74;0.0;80.46;0.0;1314.74;0.07
2019;213;302;sudouest_19_1;solnu;;1896.43;5.47;4337.26;13.19;0.0;57.6;0.0;6304.47;0.07
2019;303;365;sudouest_19_1;maisT;mais_tousSols_irr_organique;491.82;5.47;0.0;3.38;0.0;38.02;0.0;533.22;0.07
2019;213;262;sudouest_20_1;solnu;;1321.88;5.48;3500.17;9.37;0.0;21.51;0.0;4852.93;0.07
2019;263;365;sudouest_20_1;maisT;mais_tousSols_irr_mineral;1067.25;5.47;835.24;7.2;0.0;58.41;0.0;1968.11;0.07
2019;213;304;sudouest_21_1;solnu;;1792.18;3.08;6708.42;12.46;0.0;41.98;0.0;8555.04;0.07
2019;305;365;sudouest_21_1;maisT;mais_tousSols_nonirr_organique;444.81;3.07;1025.65;3.06;0.0;30.68;0.0;1504.21;0.07
2019;213;313;sudouest_22_1;solnu;;1889.95;3.07;6934.3;13.13;0.0;50.7;0.0;8888.09;0.07
2019;314;365;sudouest_22_1;maisT;mais_tousSols_nonirr_mineral;347.03;3.07;800.18;2.39;0.0;21.91;0.0;1171.51;0.07
2019;213;302;sudouest_23_1;solnu;;1771.72;3.08;6669.56;12.33;0.0;33.98;0.0;8487.59;0.07
2019;303;365;sudouest_23_1;maisT;mais_tousSols_irr_organique;465.28;3.07;1064.44;3.19;0.0;38.69;0.0;1571.6;0.07
2019;213;299;oceanique_6_1;solnu;;923.97;3.09;752.66;6.42;0.0;0.0;0.0;1683.06;0.07
2019;300;365;oceanique_6_1;CP;ble_tousSols_nonirr_mineral;420.37;3.08;1822.35;2.93;0.0;32.21;0.0;2277.85;0.07
2019;213;292;beauce_10_1;solnu;;861.51;3.09;227.23;6.02;0.0;0.0;0.0;1094.75;0.07
2019;293;365;beauce_10_1;orgeh;orgeH_tousSols_nonirr_mineral;395.61;3.08;2417.59;2.7;0.0;3.1;0.0;2819.01;0.07
2019;213;268;beauce_11_1;solnu;;709.57;3.09;204.64;4.98;0.0;0.0;0.0;919.2;0.07
2019;269;365;beauce_11_1;orgeh;orgeH_tousSols_irr_organique;548.01;3.08;626.04;3.74;0.0;2.9;0.0;1180.68;0.07
2019;213;274;beauce_12_1;solnu;;764.31;3.09;204.64;5.34;0.0;0.0;0.0;974.28;0.07
2019;275;365;beauce_12_1;orgeh;orgeH_tousSols_irr_mineral;493.1;3.08;1421.61;3.38;0.0;2.96;0.0;1921.05;0.07
2019;213;287;sudouest_24_1;solnu;;1613.35;3.08;5930.2;11.23;0.0;8.15;0.0;7562.94;0.07
2019;288;365;sudouest_24_1;maisT;mais_tousSols_irr_mineral;623.76;3.07;1449.68;4.29;0.0;64.74;0.0;2142.47;0.07
