annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;282;beauce_5_sa_000;solnu;;810.34;1.71;0.0;5.53;0.0;0.0;0.0;815.87;0.07
2019;283;365;beauce_5_sa_000;orgeh;orgeH_tousSols_nonirr_organique;552.8;1.71;28.91;3.76;0.0;1.15;0.0;586.62;0.07
2019;213;271;beauce_5_sa_001;solnu;;744.57;1.71;0.0;5.12;0.0;0.0;0.0;749.68;0.07
2019;272;365;beauce_5_sa_001;orgeh;orgeH_tousSols_nonirr_organique;614.49;1.71;19.41;4.14;0.0;1.07;0.0;639.12;0.07
2019;213;278;beauce_5_sa_002;solnu;;790.91;1.71;0.0;5.4;0.0;0.0;0.0;796.32;0.07
2019;279;365;beauce_5_sa_002;orgeh;orgeH_tousSols_nonirr_organique;567.94;1.71;25.67;3.86;0.0;1.04;0.0;598.51;0.07
2019;213;272;beauce_5_sa_003;solnu;;753.24;1.71;0.0;5.16;0.0;0.0;0.0;758.4;0.07
2019;273;365;beauce_5_sa_003;orgeh;orgeH_tousSols_nonirr_organique;606.31;1.71;21.08;4.1;0.0;1.09;0.0;632.59;0.07
2019;213;273;beauce_5_sa_004;solnu;;760.99;1.71;0.0;5.22;0.0;0.0;0.0;766.22;0.07
2019;274;365;beauce_5_sa_004;orgeh;orgeH_tousSols_nonirr_organique;599.33;1.71;22.4;4.05;0.0;1.1;0.0;626.87;0.07
2019;213;309;beauce_5_sa_005;solnu;;981.61;1.71;5.57;6.7;0.0;0.0;0.0;993.88;0.07
2019;310;365;beauce_5_sa_005;orgeh;orgeH_tousSols_nonirr_organique;377.04;1.71;31.22;2.55;0.0;0.93;0.0;411.75;0.07
2019;213;312;beauce_5_sa_006;solnu;;1004.94;1.71;7.43;6.89;0.0;0.0;0.0;1019.27;0.07
2019;313;365;beauce_5_sa_006;orgeh;orgeH_tousSols_nonirr_organique;353.7;1.71;29.58;2.37;0.0;0.93;0.0;386.58;0.07
2019;213;295;beauce_5_sa_007;solnu;;878.76;1.71;0.0;6.02;0.0;0.0;0.0;884.78;0.07
2019;296;365;beauce_5_sa_007;orgeh;orgeH_tousSols_nonirr_organique;479.26;1.71;35.25;3.24;0.0;0.89;0.0;518.62;0.07
2019;213;290;beauce_5_sa_008;solnu;;844.26;1.71;0.0;5.76;0.0;0.0;0.0;850.03;0.07
2019;291;365;beauce_5_sa_008;orgeh;orgeH_tousSols_nonirr_organique;514.25;1.71;32.74;3.49;0.0;0.94;0.0;551.42;0.07
2019;213;289;beauce_5_sa_009;solnu;;840.45;1.71;0.0;5.74;0.0;0.0;0.0;846.19;0.07
2019;290;365;beauce_5_sa_009;orgeh;orgeH_tousSols_nonirr_organique;518.51;1.71;31.75;3.52;0.0;0.98;0.0;554.77;0.07
2019;213;317;beauce_5_sa_010;solnu;;1049.66;1.71;12.75;7.23;0.0;0.0;0.0;1069.64;0.07
2019;318;365;beauce_5_sa_010;orgeh;orgeH_tousSols_nonirr_organique;309.02;1.71;24.54;2.03;0.0;0.95;0.0;336.53;0.07
2019;213;293;beauce_5_sa_011;solnu;;865.27;1.71;0.0;5.93;0.0;0.0;0.0;871.2;0.07
2019;294;365;beauce_5_sa_011;orgeh;orgeH_tousSols_nonirr_organique;493.43;1.71;34.75;3.33;0.0;0.94;0.0;532.45;0.07
2019;213;264;beauce_5_sa_012;solnu;;683.15;1.71;0.0;4.68;0.0;0.0;0.0;687.83;0.07
2019;265;365;beauce_5_sa_012;orgeh;orgeH_tousSols_nonirr_organique;676.39;1.71;13.63;4.58;0.0;1.19;0.0;695.79;0.07
2019;213;265;beauce_5_sa_013;solnu;;688.17;1.71;0.0;4.74;0.0;0.0;0.0;692.9;0.07
2019;266;365;beauce_5_sa_013;orgeh;orgeH_tousSols_nonirr_organique;670.52;1.71;13.27;4.52;0.0;1.2;0.0;689.51;0.07
2019;213;282;beauce_5_sa_014;solnu;;808.19;1.71;0.0;5.51;0.0;0.0;0.0;813.71;0.07
2019;283;365;beauce_5_sa_014;orgeh;orgeH_tousSols_nonirr_organique;550.84;1.71;28.1;3.75;0.0;1.02;0.0;583.7;0.07
2019;213;313;beauce_5_sa_015;solnu;;1014.06;1.71;7.62;6.96;0.0;0.0;0.0;1028.64;0.07
2019;314;365;beauce_5_sa_015;orgeh;orgeH_tousSols_nonirr_organique;344.47;1.71;29.48;2.3;0.0;0.92;0.0;377.18;0.07
2019;213;285;beauce_5_sa_016;solnu;;822.26;1.71;0.0;5.61;0.0;0.0;0.0;827.87;0.07
2019;286;365;beauce_5_sa_016;orgeh;orgeH_tousSols_nonirr_organique;536.64;1.71;29.21;3.65;0.0;0.98;0.0;570.47;0.07
2019;213;308;beauce_5_sa_017;solnu;;975.66;1.71;5.35;6.67;0.0;0.0;0.0;987.68;0.07
2019;309;365;beauce_5_sa_017;orgeh;orgeH_tousSols_nonirr_organique;383.02;1.71;31.41;2.59;0.0;0.94;0.0;417.95;0.07
2019;213;303;beauce_5_sa_018;solnu;;934.59;1.71;0.0;6.39;0.0;0.0;0.0;940.98;0.07
2019;304;365;beauce_5_sa_018;orgeh;orgeH_tousSols_nonirr_organique;424.08;1.71;36.54;2.86;0.0;0.93;0.0;464.42;0.07
2019;213;296;beauce_5_sa_019;solnu;;885.72;1.71;0.0;6.07;0.0;0.0;0.0;891.79;0.07
2019;297;365;beauce_5_sa_019;orgeh;orgeH_tousSols_nonirr_organique;473.09;1.71;35.59;3.19;0.0;0.94;0.0;512.82;0.07
2019;213;283;beauce_5_sa_020;solnu;;811.3;1.71;0.0;5.57;0.0;0.0;0.0;816.87;0.07
2019;284;365;beauce_5_sa_020;orgeh;orgeH_tousSols_nonirr_organique;547.55;1.71;27.96;3.69;0.0;0.99;0.0;580.19;0.07
2019;213;267;beauce_5_sa_021;solnu;;704.38;1.71;0.0;4.88;0.0;0.0;0.0;709.26;0.07
2019;268;365;beauce_5_sa_021;orgeh;orgeH_tousSols_nonirr_organique;654.57;1.71;15.06;4.38;0.0;1.22;0.0;675.23;0.07
2019;213;304;beauce_5_sa_022;solnu;;941.0;1.71;0.0;6.44;0.0;0.0;0.0;947.44;0.07
2019;305;365;beauce_5_sa_022;orgeh;orgeH_tousSols_nonirr_organique;417.62;1.71;36.5;2.82;0.0;0.91;0.0;457.84;0.07
2019;213;307;beauce_5_sa_023;solnu;;960.73;1.71;4.78;6.63;0.0;0.0;0.0;972.14;0.07
2019;308;365;beauce_5_sa_023;orgeh;orgeH_tousSols_nonirr_organique;397.75;1.71;31.94;2.63;0.0;0.91;0.0;433.22;0.07
2019;213;275;beauce_5_sa_024;solnu;;773.87;1.71;0.0;5.3;0.0;0.0;0.0;779.16;0.07
2019;276;365;beauce_5_sa_024;orgeh;orgeH_tousSols_nonirr_organique;585.15;1.71;23.61;3.96;0.0;1.08;0.0;613.8;0.07
2019;213;300;beauce_5_sa_025;solnu;;914.26;1.71;0.0;6.27;0.0;0.0;0.0;920.52;0.07
2019;301;365;beauce_5_sa_025;orgeh;orgeH_tousSols_nonirr_organique;444.41;1.71;36.32;2.99;0.0;0.93;0.0;484.65;0.07
2019;213;290;beauce_5_sa_026;solnu;;844.36;1.71;0.0;5.77;0.0;0.0;0.0;850.12;0.07
2019;291;365;beauce_5_sa_026;orgeh;orgeH_tousSols_nonirr_organique;514.6;1.71;32.72;3.5;0.0;0.98;0.0;551.8;0.07
2019;213;309;beauce_5_sa_027;solnu;;981.61;1.71;5.57;6.7;0.0;0.0;0.0;993.88;0.07
2019;310;365;beauce_5_sa_027;orgeh;orgeH_tousSols_nonirr_organique;377.06;1.71;31.23;2.56;0.0;0.94;0.0;411.78;0.07
2019;213;308;beauce_5_sa_028;solnu;;975.44;1.71;5.31;6.67;0.0;0.0;0.0;987.41;0.07
2019;309;365;beauce_5_sa_028;orgeh;orgeH_tousSols_nonirr_organique;383.02;1.71;31.43;2.59;0.0;0.91;0.0;417.95;0.07
2019;213;259;beauce_5_sa_029;solnu;;644.25;1.71;0.0;4.41;0.0;0.0;0.0;648.66;0.07
2019;260;365;beauce_5_sa_029;orgeh;orgeH_tousSols_nonirr_organique;714.92;1.71;4.56;4.85;0.0;1.15;0.0;725.48;0.07
2019;213;280;beauce_5_sa_030;solnu;;798.44;1.71;0.0;5.47;0.0;0.0;0.0;803.91;0.07
2019;281;365;beauce_5_sa_030;orgeh;orgeH_tousSols_nonirr_organique;559.07;1.71;26.97;3.78;0.0;0.97;0.0;590.79;0.07
2019;213;263;beauce_5_sa_031;solnu;;670.02;1.71;0.0;4.64;0.0;0.0;0.0;674.66;0.07
2019;264;365;beauce_5_sa_031;orgeh;orgeH_tousSols_nonirr_organique;689.22;1.71;10.58;4.62;0.0;1.17;0.0;705.6;0.07
2019;213;286;beauce_5_sa_032;solnu;;825.98;1.71;0.0;5.66;0.0;0.0;0.0;831.64;0.07
2019;287;365;beauce_5_sa_032;orgeh;orgeH_tousSols_nonirr_organique;532.84;1.71;29.64;3.6;0.0;0.97;0.0;567.05;0.07
2019;213;293;beauce_5_sa_033;solnu;;865.27;1.71;0.0;5.93;0.0;0.0;0.0;871.2;0.07
2019;294;365;beauce_5_sa_033;orgeh;orgeH_tousSols_nonirr_organique;493.43;1.71;34.75;3.33;0.0;0.94;0.0;532.45;0.07
2019;213;286;beauce_5_sa_034;solnu;;825.98;1.71;0.0;5.66;0.0;0.0;0.0;831.64;0.07
2019;287;365;beauce_5_sa_034;orgeh;orgeH_tousSols_nonirr_organique;532.84;1.71;29.64;3.6;0.0;0.97;0.0;567.05;0.07
2019;213;279;beauce_5_sa_035;solnu;;795.0;1.71;0.0;5.43;0.0;0.0;0.0;800.43;0.07
2019;280;365;beauce_5_sa_035;orgeh;orgeH_tousSols_nonirr_organique;563.99;1.71;25.86;3.83;0.0;1.03;0.0;594.71;0.07
2019;213;304;beauce_5_sa_036;solnu;;941.0;1.71;0.0;6.44;0.0;0.0;0.0;947.44;0.07
2019;305;365;beauce_5_sa_036;orgeh;orgeH_tousSols_nonirr_organique;417.63;1.71;36.51;2.82;0.0;0.92;0.0;457.87;0.07
2019;213;293;beauce_5_sa_037;solnu;;865.27;1.71;0.0;5.93;0.0;0.0;0.0;871.2;0.07
2019;294;365;beauce_5_sa_037;orgeh;orgeH_tousSols_nonirr_organique;493.42;1.71;34.75;3.33;0.0;0.94;0.0;532.43;0.07
2019;213;291;beauce_5_sa_038;solnu;;848.32;1.71;0.0;5.81;0.0;0.0;0.0;854.13;0.07
2019;292;365;beauce_5_sa_038;orgeh;orgeH_tousSols_nonirr_organique;510.44;1.71;33.25;3.44;0.0;0.95;0.0;548.08;0.07
2019;213;296;beauce_5_sa_039;solnu;;885.68;1.71;0.0;6.07;0.0;0.0;0.0;891.75;0.07
2019;297;365;beauce_5_sa_039;orgeh;orgeH_tousSols_nonirr_organique;473.01;1.71;35.6;3.19;0.0;0.94;0.0;512.74;0.07
2019;213;281;beauce_5_sa_040;solnu;;805.47;1.71;0.0;5.49;0.0;0.0;0.0;810.96;0.07
2019;282;365;beauce_5_sa_040;orgeh;orgeH_tousSols_nonirr_organique;553.46;1.71;27.03;3.77;0.0;1.02;0.0;585.27;0.07
2019;213;308;beauce_5_sa_041;solnu;;975.66;1.71;5.35;6.67;0.0;0.0;0.0;987.68;0.07
2019;309;365;beauce_5_sa_041;orgeh;orgeH_tousSols_nonirr_organique;383.02;1.71;31.41;2.59;0.0;0.94;0.0;417.95;0.07
2019;213;274;beauce_5_sa_042;solnu;;767.29;1.71;0.0;5.26;0.0;0.0;0.0;772.54;0.07
2019;275;365;beauce_5_sa_042;orgeh;orgeH_tousSols_nonirr_organique;591.67;1.71;22.54;4.0;0.0;1.08;0.0;619.29;0.07
2019;213;293;beauce_5_sa_043;solnu;;865.27;1.71;0.0;5.93;0.0;0.0;0.0;871.2;0.07
2019;294;365;beauce_5_sa_043;orgeh;orgeH_tousSols_nonirr_organique;493.43;1.71;34.75;3.33;0.0;0.94;0.0;532.45;0.07
2019;213;265;beauce_5_sa_044;solnu;;688.17;1.71;0.0;4.74;0.0;0.0;0.0;692.9;0.07
2019;266;365;beauce_5_sa_044;orgeh;orgeH_tousSols_nonirr_organique;670.52;1.71;13.27;4.52;0.0;1.2;0.0;689.51;0.07
2019;213;275;beauce_5_sa_045;solnu;;773.67;1.71;0.0;5.3;0.0;0.0;0.0;778.97;0.07
2019;276;365;beauce_5_sa_045;orgeh;orgeH_tousSols_nonirr_organique;584.04;1.71;24.51;3.95;0.0;1.04;0.0;613.54;0.07
2019;213;272;beauce_5_sa_046;solnu;;754.42;1.71;0.0;5.17;0.0;0.0;0.0;759.59;0.07
2019;273;365;beauce_5_sa_046;orgeh;orgeH_tousSols_nonirr_organique;606.47;1.71;22.23;4.1;0.0;1.11;0.0;633.91;0.07
2019;213;289;beauce_5_sa_047;solnu;;840.45;1.71;0.0;5.74;0.0;0.0;0.0;846.19;0.07
2019;290;365;beauce_5_sa_047;orgeh;orgeH_tousSols_nonirr_organique;518.48;1.71;31.78;3.52;0.0;0.97;0.0;554.76;0.07
2019;213;292;beauce_5_sa_048;solnu;;855.62;1.71;0.0;5.88;0.0;0.0;0.0;861.5;0.07
2019;293;365;beauce_5_sa_048;orgeh;orgeH_tousSols_nonirr_organique;503.14;1.71;34.0;3.38;0.0;0.94;0.0;541.47;0.07
2019;213;297;beauce_5_sa_049;solnu;;893.11;1.71;0.0;6.13;0.0;0.0;0.0;899.24;0.07
2019;298;365;beauce_5_sa_049;orgeh;orgeH_tousSols_nonirr_organique;465.53;1.71;35.78;3.12;0.0;0.92;0.0;505.36;0.07
2019;213;263;beauce_5_sa_050;solnu;;670.02;1.71;0.0;4.64;0.0;0.0;0.0;674.66;0.07
2019;264;365;beauce_5_sa_050;orgeh;orgeH_tousSols_nonirr_organique;689.22;1.71;10.58;4.62;0.0;1.17;0.0;705.6;0.07
2019;213;295;beauce_5_sa_051;solnu;;879.11;1.71;0.0;6.02;0.0;0.0;0.0;885.13;0.07
2019;296;365;beauce_5_sa_051;orgeh;orgeH_tousSols_nonirr_organique;479.59;1.71;35.28;3.24;0.0;0.94;0.0;519.05;0.07
2019;213;288;beauce_5_sa_052;solnu;;835.9;1.71;0.0;5.71;0.0;0.0;0.0;841.62;0.07
2019;289;365;beauce_5_sa_052;orgeh;orgeH_tousSols_nonirr_organique;522.47;1.71;30.79;3.55;0.0;0.93;0.0;557.74;0.07
2019;213;273;beauce_5_sa_053;solnu;;759.79;1.71;0.0;5.21;0.0;0.0;0.0;765.0;0.07
2019;274;365;beauce_5_sa_053;orgeh;orgeH_tousSols_nonirr_organique;599.22;1.71;21.23;4.05;0.0;1.09;0.0;625.58;0.07
2019;213;317;beauce_5_sa_054;solnu;;1049.66;1.71;12.74;7.23;0.0;0.0;0.0;1069.64;0.07
2019;318;365;beauce_5_sa_054;orgeh;orgeH_tousSols_nonirr_organique;309.01;1.71;24.53;2.03;0.0;0.94;0.0;336.51;0.07
2019;213;310;beauce_5_sa_055;solnu;;986.26;1.71;5.82;6.75;0.0;0.0;0.0;998.83;0.07
2019;311;365;beauce_5_sa_055;orgeh;orgeH_tousSols_nonirr_organique;372.28;1.71;31.07;2.5;0.0;0.92;0.0;406.76;0.07
2019;213;265;beauce_5_sa_056;solnu;;688.08;1.71;0.0;4.74;0.0;0.0;0.0;692.82;0.07
2019;266;365;beauce_5_sa_056;orgeh;orgeH_tousSols_nonirr_organique;669.19;1.71;15.01;4.51;0.0;1.2;0.0;689.91;0.07
2019;213;306;beauce_5_sa_057;solnu;;953.5;1.71;1.86;6.53;0.0;0.0;0.0;961.89;0.07
2019;307;365;beauce_5_sa_057;orgeh;orgeH_tousSols_nonirr_organique;405.17;1.71;34.81;2.73;0.0;0.94;0.0;443.65;0.07
2019;213;305;beauce_5_sa_058;solnu;;948.08;1.71;0.0;6.48;0.0;0.0;0.0;954.56;0.07
2019;306;365;beauce_5_sa_058;orgeh;orgeH_tousSols_nonirr_organique;410.57;1.71;36.57;2.78;0.0;0.93;0.0;450.85;0.07
2019;213;317;beauce_5_sa_059;solnu;;1049.66;1.71;12.74;7.23;0.0;0.0;0.0;1069.63;0.07
2019;318;365;beauce_5_sa_059;orgeh;orgeH_tousSols_nonirr_organique;309.0;1.71;24.52;2.03;0.0;0.94;0.0;336.48;0.07
2019;213;304;beauce_5_sa_060;solnu;;940.67;1.71;0.0;6.44;0.0;0.0;0.0;947.11;0.07
