annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;272;sudouest_1_1;solnu;;1503.21;5.48;3872.59;10.52;0.0;21.51;0.0;5407.83;0.07
2019;273;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;885.43;5.47;464.65;6.05;0.0;72.27;0.0;1428.4;0.07
2019;213;297;beauce_1_1;solnu;;1070.47;5.49;5334.65;7.47;0.0;0.0;0.0;6412.59;0.07
2019;298;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;387.79;5.48;482.36;2.64;0.0;7.45;0.0;880.23;0.07
2019;213;281;sudouest_2_1;solnu;;1653.61;5.48;4124.53;11.49;0.0;22.46;0.0;5812.09;0.07
2019;282;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;734.82;5.47;212.72;5.09;0.0;72.7;0.0;1025.33;0.07
2019;213;265;sudouest_3_1;solnu;;1616.29;1.7;71.97;11.11;0.0;1.68;0.0;1701.04;0.07
2019;266;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;1197.92;1.69;70.78;8.07;0.0;77.61;0.0;1354.38;0.07
2019;213;289;sudouest_4_1;solnu;;2043.51;1.7;92.47;13.96;0.0;5.67;0.0;2155.6;0.07
2019;290;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;769.61;1.69;81.92;5.21;0.0;79.11;0.0;935.84;0.07
2019;213;270;sudouest_5_1;solnu;;1704.8;1.7;75.0;11.73;0.0;1.74;0.0;1793.27;0.07
2019;271;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;1108.86;1.69;75.45;7.44;0.0;81.28;0.0;1273.03;0.07
2019;213;287;beauce_2_1;solnu;;1003.72;5.49;4744.4;6.98;0.0;0.0;0.0;5755.1;0.07
2019;288;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;454.66;5.48;845.61;3.14;0.0;7.46;0.0;1310.86;0.07
2019;213;285;sudouest_6_1;solnu;;1986.85;1.7;84.46;13.58;0.0;3.29;0.0;2088.18;0.07
2019;286;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;826.32;1.69;86.16;5.59;0.0;81.47;0.0;999.54;0.07
2019;213;299;sudouest_7_1;solnu;;1863.25;5.48;4337.26;12.96;0.0;31.39;0.0;6244.86;0.07
2019;300;365;sudouest_7_1;maisT;mais_tousSols_irr_organique;525.01;5.47;0.0;3.61;0.0;64.26;0.0;592.88;0.07
2019;213;266;sudouest_8_1;solnu;;1405.84;5.48;3634.01;9.81;0.0;21.51;0.0;5071.16;0.07
2019;267;365;sudouest_8_1;maisT;mais_tousSols_irr_mineral;983.08;5.47;702.62;6.77;0.0;64.65;0.0;1757.11;0.07
2019;213;317;sudouest_9_1;solnu;;1926.29;3.07;7047.69;13.43;0.0;50.71;0.0;9038.12;0.07
2019;318;365;sudouest_9_1;maisT;mais_tousSols_nonirr_organique;310.68;3.07;687.09;2.09;0.0;21.87;0.0;1021.74;0.07
2019;213;298;beauce_3_1;solnu;;902.04;1.71;0.0;6.17;0.0;0.0;0.0;908.21;0.07
2019;299;365;beauce_3_1;orgeh;orgeH_tousSols_irr_organique;455.81;1.71;35.9;3.08;0.0;0.86;0.0;495.66;0.07
2019;213;309;beauce_4_1;solnu;;981.61;1.71;5.57;6.7;0.0;0.0;0.0;993.88;0.07
2019;310;365;beauce_4_1;orgeh;orgeH_tousSols_irr_mineral;377.06;1.71;31.23;2.56;0.0;0.94;0.0;411.78;0.07
2019;213;287;beauce_5_1;solnu;;832.73;1.71;0.0;5.68;0.0;0.0;0.0;838.41;0.07
2019;288;365;beauce_5_1;orgeh;orgeH_tousSols_nonirr_organique;526.07;1.71;30.11;3.58;0.0;0.96;0.0;560.72;0.07
2019;213;267;beauce_6_1;solnu;;704.3;1.71;0.0;4.88;0.0;0.0;0.0;709.18;0.07
2019;268;365;beauce_6_1;orgeh;orgeH_tousSols_nonirr_mineral;653.16;1.71;16.76;4.37;0.0;1.2;0.0;675.5;0.07
2019;213;275;beauce_7_1;solnu;;919.89;5.49;4357.05;6.42;0.0;0.0;0.0;5283.36;0.07
2019;276;365;beauce_7_1;orgeh;orgeH_tousSols_irr_organique;538.9;5.48;625.69;3.69;0.0;7.45;0.0;1175.73;0.07
2019;213;286;beauce_8_1;solnu;;994.88;5.49;4719.44;6.95;0.0;0.0;0.0;5721.27;0.07
2019;287;365;beauce_8_1;orgeh;orgeH_tousSols_irr_mineral;463.59;5.48;848.12;3.17;0.0;7.46;0.0;1322.33;0.07
2019;213;295;sudouest_10_1;solnu;;1699.75;3.08;6377.78;11.83;0.0;13.18;0.0;8102.54;0.07
2019;296;365;sudouest_10_1;maisT;mais_tousSols_nonirr_mineral;537.29;3.07;1255.03;3.69;0.0;59.58;0.0;1855.6;0.07
2019;213;283;sudouest_11_1;solnu;;1566.83;3.08;5665.33;10.9;0.0;8.15;0.0;7251.22;0.07
2019;284;365;sudouest_11_1;maisT;mais_tousSols_irr_organique;670.34;3.07;1528.45;4.62;0.0;64.63;0.0;2268.04;0.07
2019;213;307;oceanique_1_1;solnu;;1008.53;1.71;20.75;6.97;0.0;0.0;0.0;1036.25;0.07
2019;308;365;oceanique_1_1;CP;ble_tousSols_nonirr_organique;478.38;1.7;45.16;3.2;0.0;25.04;0.0;551.77;0.07
2019;213;307;oceanique_2_1;solnu;;1151.98;5.49;6203.72;8.07;0.0;11.89;0.0;7375.66;0.07
2019;308;365;oceanique_2_1;CP;ble_tousSols_nonirr_mineral;389.51;5.48;0.0;2.65;0.0;39.37;0.0;431.54;0.07
2019;213;285;sudouest_12_1;solnu;;1588.83;3.08;5790.0;11.06;0.0;8.15;0.0;7398.05;0.07
2019;286;365;sudouest_12_1;maisT;mais_tousSols_irr_mineral;648.3;3.07;1475.61;4.47;0.0;64.73;0.0;2193.11;0.07
2019;213;275;sudouest_13_1;solnu;;1557.95;5.48;3979.91;10.92;0.0;22.46;0.0;5571.24;0.07
2019;276;365;sudouest_13_1;maisT;mais_tousSols_nonirr_organique;830.61;5.47;357.34;5.65;0.0;71.38;0.0;1264.98;0.07
2019;213;265;sudouest_14_1;solnu;;1390.48;5.48;3567.37;9.73;0.0;21.51;0.0;4989.09;0.07
2019;266;365;sudouest_14_1;maisT;mais_tousSols_nonirr_mineral;998.49;5.47;769.03;6.85;0.0;64.18;0.0;1838.54;0.07
2019;213;281;sudouest_15_1;solnu;;1929.38;1.7;84.46;13.16;0.0;3.29;0.0;2030.29;0.07
2019;282;365;sudouest_15_1;maisT;mais_tousSols_irr_organique;884.0;1.69;79.81;6.01;0.0;81.28;0.0;1051.1;0.07
2019;213;314;sudouest_16_1;solnu;;2381.88;1.69;152.13;16.28;0.0;52.55;0.0;2602.84;0.07
2019;315;365;sudouest_16_1;maisT;mais_tousSols_irr_mineral;431.14;1.69;26.48;2.89;0.0;32.11;0.0;492.62;0.07
2019;213;273;oceanique_3_1;solnu;;878.32;5.49;4512.97;6.17;0.0;0.0;0.0;5397.47;0.07
2019;274;365;oceanique_3_1;CP;ble_tousSols_nonirr_organique;663.26;5.48;676.76;4.55;0.0;34.93;0.0;1379.5;0.07
2019;213;298;oceanique_4_1;solnu;;939.87;1.71;0.0;6.43;0.0;0.0;0.0;946.3;0.07
2019;299;365;oceanique_4_1;CP;ble_tousSols_nonirr_mineral;547.06;1.7;63.44;3.74;0.0;24.61;0.0;638.86;0.07
2019;213;269;sudouest_17_1;solnu;;1682.75;1.7;75.0;11.59;0.0;1.74;0.0;1771.07;0.07
2019;270;365;sudouest_17_1;maisT;mais_tousSols_nonirr_organique;1130.96;1.69;73.84;7.59;0.0;80.83;0.0;1293.22;0.07
2019;213;296;beauce_9_1;solnu;;887.34;3.09;305.24;6.18;0.0;0.0;0.0;1198.77;0.07
2019;297;365;beauce_9_1;orgeh;orgeH_tousSols_nonirr_organique;369.75;3.08;2444.83;2.53;0.0;3.12;0.0;2820.23;0.07
2019;213;303;oceanique_5_1;solnu;;945.69;3.09;909.49;6.59;0.0;0.0;0.0;1861.77;0.07
2019;304;365;oceanique_5_1;CP;ble_tousSols_nonirr_organique;398.72;3.08;1707.77;2.76;0.0;32.42;0.0;2141.67;0.07
2019;213;282;sudouest_18_1;solnu;;1936.68;1.7;84.46;13.32;0.0;3.29;0.0;2037.75;0.07
2019;283;365;sudouest_18_1;maisT;mais_tousSols_nonirr_mineral;876.56;1.69;82.18;5.85;0.0;81.36;0.0;1045.95;0.07
2019;213;291;sudouest_19_1;solnu;;1771.44;5.48;4337.26;12.33;0.0;27.19;0.0;6148.21;0.07
2019;292;365;sudouest_19_1;maisT;mais_tousSols_irr_organique;616.88;5.47;0.0;4.24;0.0;68.58;0.0;689.7;0.07
2019;213;265;sudouest_20_1;solnu;;1390.48;5.48;3567.37;9.73;0.0;21.51;0.0;4989.09;0.07
2019;266;365;sudouest_20_1;maisT;mais_tousSols_irr_mineral;998.5;5.47;768.96;6.85;0.0;64.18;0.0;1838.48;0.07
2019;213;267;sudouest_21_1;solnu;;1319.79;3.08;4326.09;9.21;0.0;7.26;0.0;5662.35;0.07
2019;268;365;sudouest_21_1;maisT;mais_tousSols_nonirr_organique;917.85;3.07;2364.46;6.32;0.0;62.15;0.0;3350.77;0.07
2019;213;310;sudouest_22_1;solnu;;1861.39;3.08;6858.47;12.93;0.0;50.7;0.0;8783.5;0.07
2019;311;365;sudouest_22_1;maisT;mais_tousSols_nonirr_mineral;375.59;3.07;875.91;2.59;0.0;21.92;0.0;1276.02;0.07
2019;213;314;sudouest_23_1;solnu;;1898.2;3.07;6962.14;13.21;0.0;50.71;0.0;8924.27;0.07
2019;315;365;sudouest_23_1;maisT;mais_tousSols_irr_organique;338.78;3.07;772.28;2.31;0.0;21.9;0.0;1135.28;0.07
2019;213;312;oceanique_6_1;solnu;;1017.82;3.08;1266.87;7.09;0.0;4.95;0.0;2296.74;0.07
2019;313;365;oceanique_6_1;CP;ble_tousSols_nonirr_mineral;326.59;3.08;1407.34;2.26;0.0;27.66;0.0;1763.85;0.07
2019;213;286;beauce_10_1;solnu;;830.75;3.09;204.64;5.8;0.0;0.0;0.0;1041.18;0.07
2019;287;365;beauce_10_1;orgeh;orgeH_tousSols_nonirr_mineral;426.45;3.08;2151.5;2.92;0.0;3.05;0.0;2583.93;0.07
2019;213;316;beauce_11_1;solnu;;1012.81;3.08;1146.96;7.04;0.0;0.0;0.0;2166.81;0.07
2019;317;365;beauce_11_1;orgeh;orgeH_tousSols_irr_organique;244.26;3.08;1731.59;1.68;0.0;3.14;0.0;1980.67;0.07
2019;213;303;beauce_12_1;solnu;;928.35;3.09;520.86;6.46;0.0;0.0;0.0;1455.67;0.07
2019;304;365;beauce_12_1;orgeh;orgeH_tousSols_irr_mineral;328.72;3.08;2311.87;2.26;0.0;3.13;0.0;2645.97;0.07
2019;213;298;sudouest_24_1;solnu;;1728.75;3.08;6526.8;12.04;0.0;15.49;0.0;8283.08;0.07
2019;299;365;sudouest_24_1;maisT;mais_tousSols_irr_mineral;508.27;3.07;1206.69;3.48;0.0;57.24;0.0;1775.67;0.07
2019;213;303;beauce_13_1;solnu;;1110.44;5.49;5578.63;7.72;0.0;0.0;0.0;6696.79;0.07
2019;304;365;beauce_13_1;CP;ble_tousSols_nonirr_organique;347.81;5.48;357.87;2.39;0.0;7.41;0.0;715.47;0.07
2019;213;271;beauce_14_1;solnu;;877.36;5.49;4182.85;6.16;0.0;0.0;0.0;5066.37;0.07
2019;272;365;beauce_14_1;maisT;mais_tousSols_nonirr_organique;581.1;5.48;1842.01;3.96;0.0;7.73;0.0;2434.8;0.07
2019;213;302;beauce_15_1;solnu;;1105.35;5.49;5555.74;7.68;0.0;0.0;0.0;6668.78;0.07
2019;303;365;beauce_15_1;maisT;mais_tousSols_nonirr_organique;352.89;5.48;482.78;2.43;0.0;7.41;0.0;845.51;0.07
2019;213;285;beauce_16_1;solnu;;989.64;5.49;4664.08;6.88;0.0;0.0;0.0;5660.61;0.07
2019;286;365;beauce_16_1;maisT;mais_tousSols_nonirr_mineral;468.65;5.48;1373.42;3.23;0.0;7.5;0.0;1852.8;0.07
2019;213;308;beauce_17_1;solnu;;1145.41;5.49;5631.63;7.96;0.0;0.25;0.0;6785.26;0.07
2019;309;365;beauce_17_1;CP;ble_tousSols_nonirr_mineral;312.83;5.48;343.7;2.15;0.0;7.16;0.0;665.84;0.07
2019;213;276;beauce_18_1;solnu;;927.98;5.49;4378.75;6.45;0.0;0.0;0.0;5313.19;0.07
2019;277;365;beauce_18_1;maisT;mais_tousSols_nonirr_mineral;530.39;5.48;1642.64;3.66;0.0;7.61;0.0;2184.3;0.07
2019;213;272;beauce_19_1;solnu;;754.42;1.71;0.0;5.17;0.0;0.0;0.0;759.59;0.07
2019;273;365;beauce_19_1;CP;ble_tousSols_irr_organique;606.16;1.71;18.49;4.1;0.0;1.04;0.0;629.8;0.07
2019;213;301;beauce_20_1;solnu;;921.97;1.71;0.0;6.31;0.0;0.0;0.0;928.28;0.07
2019;302;365;beauce_20_1;maisT;mais_tousSols_irr_organique;436.69;1.71;37.53;2.94;0.0;0.94;0.0;478.09;0.07
2019;213;280;beauce_21_1;solnu;;798.81;1.71;0.0;5.47;0.0;0.0;0.0;804.28;0.07
2019;281;365;beauce_21_1;maisT;mais_tousSols_irr_organique;559.8;1.71;37.74;3.78;0.0;1.01;0.0;602.34;0.07
2019;213;288;beauce_22_1;solnu;;835.97;1.71;0.0;5.71;0.0;0.0;0.0;841.69;0.07
2019;289;365;beauce_22_1;maisT;mais_tousSols_irr_mineral;522.66;1.71;37.61;3.55;0.0;0.96;0.0;564.77;0.07
2019;213;317;beauce_23_1;solnu;;1049.66;1.71;12.75;7.23;0.0;0.0;0.0;1069.64;0.07
2019;318;365;beauce_23_1;CP;ble_tousSols_irr_mineral;309.01;1.71;24.53;2.03;0.0;0.94;0.0;336.51;0.07
2019;213;292;beauce_24_1;solnu;;855.55;1.71;0.0;5.88;0.0;0.0;0.0;861.43;0.07
2019;293;365;beauce_24_1;maisT;mais_tousSols_irr_mineral;503.08;1.71;37.56;3.38;0.0;0.94;0.0;544.97;0.07
2019;213;315;beauce_25_1;solnu;;1034.59;1.71;10.9;7.09;0.0;0.0;0.0;1052.58;0.07
