idParcelle;surface [m2];zone_pedo;matIrr
sudouest_38_1;15609.98983305599;argilo-calcaire;materielIrrigation(1)
sudouest_39_1;16388.934690163118;argilo-calcaire;materielIrrigation(1)
sudouest_40_1;8796.60950684734;argilo-calcaire;materielIrrigation(1)
sudouest_41_1;9593.219486815851;limono-sableux;null
sudouest_42_1;17530.5275097061;limono-sableux;null
sudouest_43_1;13841.17160204891;limono-sableux;null
sudouest_44_1;15877.33153698268;limono-sableux;null
sudouest_45_1;7413.12402748317;limono-sableux;materielIrrigation(1)
sudouest_46_1;12434.48880993715;limono-sableux;materielIrrigation(1)
sudouest_47_1;15204.79163214471;limono-sableux;materielIrrigation(1)
sudouest_48_1;16662.755904741593;limono-sableux;materielIrrigation(1)
copie_sudouest_1_1;9979.73592519155;argilo-calcaire;null
copie_sudouest_2_1;14985.33951059263;argilo-calcaire;null
copie_beauce_8_1;7237.90658077598;argilo-calcaire;materielIrrigation(1)
copie_oceanique_1_1;9955.30175675731;limoneux;null
copie_oceanique_5_1;11492.391023248869;limono-sableux;null
copie_sudouest_18_1;9529.37837531231;limoneux;null
copie_sudouest_22_1;13856.790444222512;limono-sableux;null
copie_beauce_10_1;9575.28738663881;limono-sableux;null
copie_beauce_44_1;16667.80470714159;limono-sableux;materielIrrigation(1)
copie_oceanique_14_1;13416.86541749164;argilo-calcaire;null
