annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;213;309;sudouest_1_1;solnu;;178.46;0.0;183.41;1.11;0.0;45.23;81.7;56.54;102.12;-1.0;-1.0;0.0;383.2;0.0;0.0
2019;310;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;32.96;0.01;95.64;0.19;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.21;129.23;0.0;195.73
2019;213;263;beauce_1_1;solnu;;82.12;0.0;0.0;0.27;0.0;45.23;81.7;25.44;61.91;-1.0;-1.0;0.0;62.33;0.0;0.0
2019;264;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;49.02;1.83;61.7;0.04;0.0;24.53;60.99;74.73;102.12;-1.0;-1.0;84.09;153.57;0.0;906.2
2019;213;272;sudouest_2_1;solnu;;135.63;0.0;51.72;0.76;0.0;45.23;81.7;47.2;92.78;-1.0;-1.0;0.0;200.76;0.0;0.0
2019;273;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;70.96;0.97;231.18;0.51;0.0;47.47;93.05;56.54;102.12;-1.0;-1.0;98.92;311.67;0.0;484.7
2019;213;264;sudouest_3_1;solnu;;114.32;0.0;14.15;3.32;0.0;45.53;248.32;48.65;302.14;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;265;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;75.39;2.72;242.24;5.17;0.0;46.82;300.3;58.28;310.4;-1.0;-1.0;99.01;330.14;0.0;576.42
2019;213;265;sudouest_4_1;solnu;;116.16;0.0;14.15;3.51;0.0;45.53;248.32;46.82;300.3;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;266;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;73.91;2.55;242.06;5.25;0.0;45.05;298.54;57.4;310.4;-1.0;-1.0;99.0;330.14;0.0;567.5
2019;213;259;sudouest_5_1;solnu;;103.41;0.0;14.15;3.01;0.0;45.53;248.32;56.91;310.4;-1.0;-1.0;0.0;181.42;0.0;0.0
2019;260;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;83.96;4.26;243.04;7.32;0.0;56.34;309.83;64.9;310.4;-1.0;-1.0;99.06;331.02;0.0;637.14
2019;213;286;beauce_2_1;solnu;;100.06;0.0;0.0;0.36;0.0;45.23;81.7;22.58;59.04;-1.0;-1.0;0.0;77.4;0.0;0.0
2019;287;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;35.76;0.08;58.77;0.11;0.0;22.13;58.59;56.54;102.12;-1.0;-1.0;89.75;138.51;0.0;578.34
2019;213;277;sudouest_6_1;solnu;;135.78;0.0;26.29;5.17;0.0;45.53;248.32;54.18;307.67;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;278;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;58.6;0.8;227.35;6.02;0.0;52.62;306.1;56.91;310.4;-1.0;-1.0;98.86;291.01;0.0;436.82
2019;213;289;sudouest_7_1;solnu;;159.48;0.0;66.79;1.07;0.0;45.23;81.7;55.33;100.91;-1.0;-1.0;0.0;257.49;0.0;0.0
2019;290;365;sudouest_7_1;maisT;mais_tousSols_irr_organique;50.63;0.15;213.43;0.22;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.68;254.94;0.0;336.56
2019;213;261;sudouest_8_1;solnu;;112.04;0.0;51.72;0.57;0.0;45.23;81.7;54.43;100.01;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;262;365;sudouest_8_1;maisT;mais_tousSols_irr_mineral;90.58;2.28;233.85;0.34;0.0;51.8;97.39;61.75;102.12;-1.0;-1.0;99.03;330.14;0.0;606.42
2019;213;266;sudouest_9_1;solnu;;124.84;0.0;32.48;1.29;0.0;51.17;154.15;50.4;179.12;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;267;365;sudouest_9_1;maisT;mais_tousSols_nonirr_organique;79.76;1.75;233.53;1.64;0.0;48.86;177.57;63.97;192.68;-1.0;-1.0;98.99;330.14;0.0;556.09
2019;213;261;beauce_3_1;solnu;;82.45;0.0;0.0;0.01;0.0;45.53;248.32;10.78;213.57;-1.0;-1.0;0.0;62.33;0.0;0.0
2019;262;365;beauce_3_1;orgeh;orgeH_tousSols_irr_organique;52.29;2.42;15.86;0.54;0.0;25.19;227.97;78.25;310.4;-1.0;-1.0;82.55;153.57;0.0;934.6
2019;213;283;beauce_4_1;solnu;;101.99;0.0;0.0;0.01;0.0;45.53;248.32;15.21;218.0;-1.0;-1.0;0.0;74.9;0.0;0.0
2019;284;365;beauce_4_1;orgeh;orgeH_tousSols_irr_mineral;37.87;0.16;13.0;0.87;0.0;18.29;221.08;56.91;310.4;-1.0;-1.0;90.72;141.0;0.0;613.66
2019;213;265;beauce_5_1;solnu;;86.21;0.0;0.0;0.01;0.0;45.53;248.32;24.39;227.18;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;266;365;beauce_5_1;orgeh;orgeH_tousSols_nonirr_organique;50.11;1.5;15.18;0.6;0.0;23.48;226.27;71.36;310.4;-1.0;-1.0;82.6;150.83;0.0;871.06
2019;213;273;beauce_6_1;solnu;;95.65;0.0;0.0;0.01;0.0;45.53;248.32;14.95;217.74;-1.0;-1.0;0.0;69.21;0.0;0.0
2019;274;365;beauce_6_1;orgeh;orgeH_tousSols_nonirr_mineral;42.8;0.54;14.02;0.78;0.0;18.78;221.57;56.91;310.4;-1.0;-1.0;87.06;146.69;0.0;736.61
2019;213;298;beauce_7_1;solnu;;106.34;0.0;0.0;0.31;0.0;45.23;81.7;41.7;78.17;-1.0;-1.0;0.0;102.81;0.0;0.0
2019;299;365;beauce_7_1;orgeh;orgeH_tousSols_irr_organique;30.18;0.01;58.14;0.1;0.0;41.23;77.7;56.54;102.12;-1.0;-1.0;95.06;113.09;0.0;445.8
2019;213;275;beauce_8_1;solnu;;93.75;0.0;0.0;0.31;0.0;45.23;81.7;20.69;57.15;-1.0;-1.0;0.0;69.21;0.0;0.0
2019;276;365;beauce_8_1;orgeh;orgeH_tousSols_irr_mineral;40.63;0.39;59.89;0.1;0.0;19.94;56.41;56.54;102.12;-1.0;-1.0;87.02;146.69;0.0;709.47
2019;213;283;sudouest_10_1;solnu;;153.8;0.0;40.76;1.98;0.0;51.17;154.15;52.28;181.0;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;284;365;sudouest_10_1;maisT;mais_tousSols_nonirr_mineral;55.74;0.3;221.75;1.08;0.0;51.2;179.92;63.97;192.68;-1.0;-1.0;98.78;291.01;0.0;383.01
2019;213;304;sudouest_11_1;solnu;;174.16;0.0;139.41;2.42;0.0;51.17;154.15;63.97;192.68;-1.0;-1.0;0.0;354.73;0.0;0.0
2019;305;365;sudouest_11_1;maisT;mais_tousSols_irr_organique;37.3;0.02;121.46;0.47;0.0;63.97;192.68;63.97;192.68;-1.0;-1.0;98.36;157.71;0.0;230.5
2019;213;289;oceanique_1_1;solnu;;105.83;0.0;0.0;0.02;0.0;45.53;248.32;25.21;227.99;-1.0;-1.0;0.0;96.35;0.0;0.0
2019;290;365;oceanique_1_1;CP;ble_tousSols_nonirr_organique;35.36;0.06;116.32;0.48;0.0;35.52;238.31;56.87;310.36;-1.0;-1.0;94.1;226.69;0.0;639.15
2019;213;264;oceanique_2_1;solnu;;76.33;0.0;0.0;0.12;0.0;45.23;81.7;34.24;70.7;-1.0;-1.0;0.0;65.47;0.0;0.0
2019;265;365;oceanique_2_1;CP;ble_tousSols_nonirr_mineral;54.28;1.51;167.06;0.02;0.0;33.66;70.12;77.93;102.12;-1.0;-1.0;87.94;257.58;0.0;987.78
2019;213;313;sudouest_12_1;solnu;;182.76;0.0;164.88;2.5;0.0;51.17;154.15;61.6;190.31;-1.0;-1.0;0.0;389.16;0.0;0.0
2019;314;365;sudouest_12_1;maisT;mais_tousSols_irr_mineral;28.94;0.0;95.78;0.34;0.0;63.97;192.68;63.97;192.68;-1.0;-1.0;98.08;123.27;0.0;166.77
2019;213;265;sudouest_13_1;solnu;;121.48;0.0;51.72;0.63;0.0;45.23;81.7;45.2;90.78;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;266;365;sudouest_13_1;maisT;mais_tousSols_nonirr_organique;82.58;1.78;232.91;0.6;0.0;42.86;88.44;57.4;102.12;-1.0;-1.0;98.98;330.14;0.0;567.5
2019;213;313;sudouest_14_1;solnu;;182.31;0.0;183.47;1.11;0.0;45.23;81.7;54.14;99.72;-1.0;-1.0;0.0;389.16;0.0;0.0
2019;314;365;sudouest_14_1;maisT;mais_tousSols_nonirr_mineral;29.2;0.0;95.48;0.14;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.08;123.27;0.0;166.77
2019;213;279;sudouest_15_1;solnu;;138.45;0.0;26.29;5.42;0.0;45.53;248.32;51.51;305.0;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;280;365;sudouest_15_1;maisT;mais_tousSols_irr_organique;56.03;0.62;227.42;3.83;0.0;49.57;303.06;56.91;310.4;-1.0;-1.0;98.84;291.01;0.0;419.87
2019;213;308;sudouest_16_1;solnu;;165.73;0.0;150.33;8.01;0.0;45.53;248.32;56.91;310.4;-1.0;-1.0;0.0;382.3;0.0;0.0
2019;309;365;sudouest_16_1;maisT;mais_tousSols_irr_mineral;31.49;0.02;101.24;1.81;0.0;56.91;310.4;56.91;310.4;-1.0;-1.0;98.25;130.14;0.0;200.8
2019;213;273;oceanique_3_1;solnu;;88.8;0.0;0.0;0.16;0.0;45.23;81.7;31.41;67.88;-1.0;-1.0;0.0;75.29;0.0;0.0
2019;274;365;oceanique_3_1;CP;ble_tousSols_nonirr_organique;43.96;0.56;165.88;0.03;0.0;30.88;67.34;61.31;102.11;-1.0;-1.0;89.41;247.75;0.0;843.78
2019;213;295;oceanique_4_1;solnu;;110.66;0.0;0.0;0.02;0.0;45.53;248.32;33.65;236.44;-1.0;-1.0;0.0;99.33;0.0;0.0
2019;296;365;oceanique_4_1;CP;ble_tousSols_nonirr_mineral;30.89;0.02;116.01;0.48;0.0;33.42;236.21;56.87;310.35;-1.0;-1.0;96.3;223.71;0.0;567.14
2019;213;274;sudouest_17_1;solnu;;130.01;0.0;24.54;5.16;0.0;45.53;248.32;56.91;310.4;-1.0;-1.0;0.0;217.55;0.0;0.0
