annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;213;297;sudouest_1_1;solnu;;168.21;0.0;91.77;1.1;0.0;45.23;81.7;56.54;102.12;-1.0;-1.0;0.0;287.94;0.0;0.0
2019;298;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;42.65;0.05;187.8;0.22;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.53;224.49;0.0;278.43
2019;213;262;beauce_1_1;solnu;;80.4;0.0;0.0;0.27;0.0;45.23;81.7;27.16;63.63;-1.0;-1.0;0.0;62.33;0.0;0.0
2019;263;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;50.71;1.87;61.68;0.04;0.0;25.44;61.91;76.11;102.12;-1.0;-1.0;83.55;153.57;0.0;922.18
2019;213;263;sudouest_2_1;solnu;;116.55;0.0;51.72;0.59;0.0;45.23;81.7;50.13;95.71;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;264;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;87.12;1.88;233.21;0.63;0.0;47.52;93.1;59.38;102.12;-1.0;-1.0;99.0;330.14;0.0;585.24
2019;213;262;sudouest_3_1;solnu;;110.64;0.0;14.15;3.06;0.0;45.53;248.32;52.34;305.82;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;263;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;78.15;3.18;242.7;4.98;0.0;50.86;304.35;60.4;310.4;-1.0;-1.0;99.03;330.14;0.0;596.27
2019;213;289;sudouest_4_1;solnu;;148.41;0.0;36.2;7.51;0.0;45.53;248.32;55.7;309.19;-1.0;-1.0;0.0;257.49;0.0;0.0
2019;290;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;47.89;0.23;216.08;3.65;0.0;56.91;310.4;56.91;310.4;-1.0;-1.0;98.68;254.94;0.0;336.56
2019;213;310;sudouest_5_1;solnu;;167.69;0.0;153.43;8.06;0.0;45.53;248.32;56.91;310.4;-1.0;-1.0;0.0;383.2;0.0;0.0
2019;311;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;29.8;0.02;97.88;3.47;0.0;55.86;309.35;56.91;310.4;-1.0;-1.0;98.18;129.23;0.0;186.68
2019;213;268;beauce_2_1;solnu;;87.41;0.0;0.0;0.27;0.0;45.23;81.7;22.9;59.36;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;269;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;45.23;1.04;60.99;0.06;0.0;21.92;58.38;65.22;102.12;-1.0;-1.0;85.5;150.83;0.0;818.79
2019;213;282;sudouest_6_1;solnu;;142.14;0.0;26.29;6.11;0.0;45.53;248.32;47.83;301.31;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;283;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;53.25;0.48;226.66;5.19;0.0;46.92;300.4;56.91;310.4;-1.0;-1.0;98.8;291.01;0.0;389.68
2019;213;308;sudouest_7_1;solnu;;177.35;0.0;180.37;1.11;0.0;45.23;81.7;56.54;102.12;-1.0;-1.0;0.0;382.3;0.0;0.0
2019;309;365;sudouest_7_1;maisT;mais_tousSols_irr_organique;34.03;0.01;98.71;0.11;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;98.25;130.14;0.0;200.8
2019;213;294;sudouest_8_1;solnu;;164.7;0.0;84.87;1.08;0.0;45.23;81.7;56.54;102.12;-1.0;-1.0;0.0;269.99;0.0;0.0
2019;295;365;sudouest_8_1;maisT;mais_tousSols_irr_mineral;45.93;0.08;194.9;0.21;0.0;55.21;100.79;56.54;102.12;-1.0;-1.0;98.59;242.44;0.0;298.28
2019;213;277;sudouest_9_1;solnu;;144.85;0.0;40.76;1.67;0.0;51.17;154.15;61.24;189.95;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;278;365;sudouest_9_1;maisT;mais_tousSols_nonirr_organique;63.45;0.58;222.71;1.36;0.0;59.49;188.21;63.97;192.68;-1.0;-1.0;98.86;291.01;0.0;436.82
2019;213;284;beauce_3_1;solnu;;102.14;0.0;0.0;0.01;0.0;45.53;248.32;18.29;221.08;-1.0;-1.0;0.0;74.9;0.0;0.0
2019;285;365;beauce_3_1;orgeh;orgeH_tousSols_irr_organique;37.74;0.14;13.0;0.85;0.0;17.61;220.39;56.91;310.4;-1.0;-1.0;91.36;141.0;0.0;598.71
2019;213;309;beauce_4_1;solnu;;117.89;0.0;0.0;0.01;0.0;45.53;248.32;56.48;269.68;-1.0;-1.0;0.0;139.25;0.0;0.0
2019;310;365;beauce_4_1;orgeh;orgeH_tousSols_irr_mineral;23.04;0.0;12.09;0.41;0.0;55.86;269.06;56.91;310.4;-1.0;-1.0;98.21;76.66;0.0;355.2
2019;213;293;beauce_5_1;solnu;;106.99;0.0;0.0;0.01;0.0;45.53;248.32;35.86;238.65;-1.0;-1.0;0.0;97.32;0.0;0.0
2019;294;365;beauce_5_1;orgeh;orgeH_tousSols_nonirr_organique;33.79;0.03;12.2;0.8;0.0;34.89;237.68;56.91;310.4;-1.0;-1.0;95.05;118.58;0.0;498.06
2019;213;317;beauce_6_1;solnu;;122.65;0.0;0.0;0.1;0.0;45.53;248.32;56.91;278.98;-1.0;-1.0;0.0;153.32;0.0;0.0
2019;318;365;beauce_6_1;orgeh;orgeH_tousSols_nonirr_mineral;18.2;0.0;12.16;0.18;0.0;56.36;278.44;56.91;310.4;-1.0;-1.0;97.92;62.59;0.0;276.42
2019;213;283;beauce_7_1;solnu;;98.9;0.0;0.0;0.35;0.0;45.23;81.7;17.99;54.46;-1.0;-1.0;0.0;74.9;0.0;0.0
2019;284;365;beauce_7_1;orgeh;orgeH_tousSols_irr_organique;36.62;0.13;59.01;0.11;0.0;21.07;57.53;56.54;102.12;-1.0;-1.0;88.84;141.0;0.0;613.66
2019;213;276;beauce_8_1;solnu;;94.5;0.0;0.0;0.27;0.0;45.23;81.7;19.95;56.41;-1.0;-1.0;0.0;69.53;0.0;0.0
2019;277;365;beauce_8_1;orgeh;orgeH_tousSols_irr_mineral;40.1;0.33;59.75;0.1;0.0;19.55;56.01;56.54;102.12;-1.0;-1.0;87.5;146.38;0.0;697.57
2019;213;298;sudouest_10_1;solnu;;169.25;0.0;80.16;2.41;0.0;51.17;154.15;63.97;192.68;-1.0;-1.0;0.0;288.38;0.0;0.0
2019;299;365;sudouest_10_1;maisT;mais_tousSols_nonirr_mineral;41.88;0.05;181.03;0.69;0.0;63.4;192.12;63.97;192.68;-1.0;-1.0;98.51;224.05;0.0;269.8
2019;213;283;sudouest_11_1;solnu;;153.8;0.0;40.76;1.98;0.0;51.17;154.15;52.28;181.0;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;284;365;sudouest_11_1;maisT;mais_tousSols_irr_organique;55.71;0.3;221.78;0.78;0.0;51.2;179.92;63.97;192.68;-1.0;-1.0;98.78;291.01;0.0;383.01
2019;213;273;oceanique_1_1;solnu;;94.06;0.0;0.0;0.02;0.0;45.53;248.32;26.45;229.24;-1.0;-1.0;0.0;75.29;0.0;0.0
2019;274;365;oceanique_1_1;CP;ble_tousSols_nonirr_organique;44.58;0.6;118.3;0.44;0.0;25.9;228.69;61.31;310.38;-1.0;-1.0;90.91;247.75;0.0;843.78
2019;213;276;oceanique_2_1;solnu;;91.56;0.0;0.0;0.16;0.0;45.23;81.7;28.96;65.43;-1.0;-1.0;0.0;75.29;0.0;0.0
2019;277;365;oceanique_2_1;CP;ble_tousSols_nonirr_mineral;41.77;0.38;165.5;0.04;0.0;28.24;64.71;56.52;102.1;-1.0;-1.0;90.5;247.75;0.0;801.39
2019;213;313;sudouest_12_1;solnu;;182.76;0.0;164.88;2.47;0.0;51.17;154.15;61.6;190.31;-1.0;-1.0;0.0;389.16;0.0;0.0
2019;314;365;sudouest_12_1;maisT;mais_tousSols_irr_mineral;28.94;0.0;95.77;0.33;0.0;63.97;192.68;63.97;192.68;-1.0;-1.0;98.08;123.27;0.0;166.77
2019;213;316;sudouest_13_1;solnu;;184.95;0.0;185.3;1.14;0.0;45.23;81.7;56.0;101.58;-1.0;-1.0;0.0;390.13;0.0;0.0
