annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2019;213;261;sudouest_1_1;solnu;;6.16;0.0;32.77;0.0;0.0;35.0;34.52;7.34;19.75;0;0;0;-353.78;7.32;0.02;0.0;6.16
2019;262;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;16.32;0.0;26.62;0.0;28.74;34.0;5.27;2.02;8.79;0;9.33;0;-297.81;2.0;0.02;0.0;16.32
2019;213;273;beauce_1_1;solnu;;0.0;0.0;22.59;0.0;0.0;35.0;44.19;9.18;4.22;0;0;0;-245.35;9.17;0.01;0.0;0.0
2019;274;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;2.12;0.0;13.66;0.0;31.99;44.28;22.36;1.14;0.24;0;16.0;0;-152.48;1.13;0.01;0.0;2.12
2019;213;302;sudouest_2_1;solnu;;16.51;0.0;47.27;0.0;0.0;35.0;27.28;9.35;29.13;0;0;0;-517.21;9.32;0.03;0.0;16.51
2019;303;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;10.9;0.0;12.1;0.0;0.0;27.56;28.47;0.01;0.0;0;0.0;0;-134.13;0.0;0.01;0.0;10.9
2019;213;292;sudouest_3_1;solnu;;2.9;0.0;51.04;0.0;0.0;35.0;82.85;0.26;0.03;0;0;0;-567.91;0.23;0.03;0.0;2.9
2019;293;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;21.38;0.0;17.65;0.0;8.19;83.18;70.73;0.16;0.04;0;2.66;0;-199.29;0.15;0.01;0.0;21.38
2019;213;313;sudouest_4_1;solnu;;15.03;0.0;58.0;0.0;0.0;35.0;77.55;0.36;0.06;0;0;0;-646.74;0.33;0.03;0.0;15.03
2019;314;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;9.23;0.0;10.69;0.0;0.0;77.85;78.93;0.07;0.01;0;0.0;0;-120.44;0.06;0.01;0.0;9.23
2019;213;259;sudouest_5_1;solnu;;0.48;0.0;36.15;0.0;0.0;35.0;70.47;0.17;0.03;0;0;0;-398.15;0.15;0.02;0.0;0.48
2019;260;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;20.07;0.0;32.57;0.0;41.34;70.97;41.46;0.15;0.02;0;13.42;0;-369.43;0.13;0.02;0.0;20.07
2019;213;311;beauce_2_1;solnu;;0.07;0.0;28.99;0.0;0.0;35.0;40.65;12.19;11.07;0;0;0;-316.45;12.17;0.02;0.0;0.07
2019;312;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;2.05;0.0;7.24;0.0;3.51;40.35;32.85;0.77;8.72;0;1.76;0;-81.25;0.76;0.0;0.0;2.05
2019;213;300;sudouest_6_1;solnu;;3.81;0.0;53.76;0.0;0.0;35.0;84.63;0.29;0.03;0;0;0;-597.7;0.26;0.03;0.0;3.81
2019;301;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;20.44;0.0;14.93;0.0;0.0;83.84;78.95;0.14;0.04;0;0.0;0;-169.48;0.13;0.01;0.0;20.44
