annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;304;beauce_5_sa_000;solnu;;941.0;1.71;0.0;6.44;0.0;0.0;0.0;947.44;0.07
2019;305;365;beauce_5_sa_000;orgeh;orgeH_tousSols_nonirr_organique;417.63;1.71;36.51;2.82;0.0;0.92;0.0;457.87;0.07
2019;213;283;beauce_5_sa_001;solnu;;811.3;1.71;0.0;5.57;0.0;0.0;0.0;816.87;0.07
2019;284;365;beauce_5_sa_001;orgeh;orgeH_tousSols_nonirr_organique;547.55;1.71;27.96;3.69;0.0;0.99;0.0;580.19;0.07
2019;213;296;beauce_5_sa_002;solnu;;885.68;1.71;0.0;6.07;0.0;0.0;0.0;891.75;0.07
2019;297;365;beauce_5_sa_002;orgeh;orgeH_tousSols_nonirr_organique;473.01;1.71;35.6;3.19;0.0;0.94;0.0;512.74;0.07
2019;213;283;beauce_5_sa_003;solnu;;811.3;1.71;0.0;5.57;0.0;0.0;0.0;816.87;0.07
2019;284;365;beauce_5_sa_003;orgeh;orgeH_tousSols_nonirr_organique;547.55;1.71;27.96;3.69;0.0;0.99;0.0;580.19;0.07
2019;213;272;beauce_5_sa_004;solnu;;754.23;1.71;0.0;5.17;0.0;0.0;0.0;759.4;0.07
2019;273;365;beauce_5_sa_004;orgeh;orgeH_tousSols_nonirr_organique;609.66;1.71;21.29;4.12;0.0;1.1;0.0;636.18;0.07
2019;213;262;beauce_5_sa_005;solnu;;662.24;1.71;0.0;4.55;0.0;0.0;0.0;666.79;0.07
2019;263;365;beauce_5_sa_005;orgeh;orgeH_tousSols_nonirr_organique;696.0;1.71;10.65;4.7;0.0;1.16;0.0;712.52;0.07
2019;213;295;beauce_5_sa_006;solnu;;879.0;1.71;0.0;6.02;0.0;0.0;0.0;885.02;0.07
2019;296;365;beauce_5_sa_006;orgeh;orgeH_tousSols_nonirr_organique;479.4;1.71;35.26;3.24;0.0;0.91;0.0;518.81;0.07
2019;213;263;beauce_5_sa_007;solnu;;670.02;1.71;0.0;4.64;0.0;0.0;0.0;674.66;0.07
2019;264;365;beauce_5_sa_007;orgeh;orgeH_tousSols_nonirr_organique;689.22;1.71;10.58;4.62;0.0;1.17;0.0;705.6;0.07
2019;213;313;beauce_5_sa_008;solnu;;1014.15;1.71;7.63;6.96;0.0;0.0;0.0;1028.73;0.07
2019;314;365;beauce_5_sa_008;orgeh;orgeH_tousSols_nonirr_organique;344.47;1.71;29.48;2.3;0.0;0.93;0.0;377.18;0.07
2019;213;285;beauce_5_sa_009;solnu;;822.12;1.71;0.0;5.61;0.0;0.0;0.0;827.73;0.07
2019;286;365;beauce_5_sa_009;orgeh;orgeH_tousSols_nonirr_organique;535.97;1.71;29.27;3.64;0.0;0.93;0.0;569.8;0.07
2019;213;291;beauce_5_sa_010;solnu;;848.23;1.71;0.0;5.81;0.0;0.0;0.0;854.04;0.07
2019;292;365;beauce_5_sa_010;orgeh;orgeH_tousSols_nonirr_organique;510.11;1.71;33.24;3.44;0.0;0.91;0.0;547.71;0.07
2019;213;314;beauce_5_sa_011;solnu;;1024.17;1.71;10.4;7.03;0.0;0.0;0.0;1041.6;0.07
2019;315;365;beauce_5_sa_011;orgeh;orgeH_tousSols_nonirr_organique;334.51;1.71;26.76;2.23;0.0;0.95;0.0;364.45;0.07
2019;213;303;beauce_5_sa_012;solnu;;934.55;1.71;0.0;6.39;0.0;0.0;0.0;940.95;0.07
2019;304;365;beauce_5_sa_012;orgeh;orgeH_tousSols_nonirr_organique;424.06;1.71;36.53;2.86;0.0;0.92;0.0;464.38;0.07
2019;213;283;beauce_5_sa_013;solnu;;810.83;1.71;0.0;5.56;0.0;0.0;0.0;816.39;0.07
2019;284;365;beauce_5_sa_013;orgeh;orgeH_tousSols_nonirr_organique;546.61;1.71;28.27;3.69;0.0;0.93;0.0;579.5;0.07
2019;213;284;beauce_5_sa_014;solnu;;818.91;1.71;0.0;5.59;0.0;0.0;0.0;824.5;0.07
2019;285;365;beauce_5_sa_014;orgeh;orgeH_tousSols_nonirr_organique;540.0;1.71;28.66;3.67;0.0;0.99;0.0;573.33;0.07
2019;213;272;beauce_5_sa_015;solnu;;753.24;1.71;0.0;5.16;0.0;0.0;0.0;758.4;0.07
2019;273;365;beauce_5_sa_015;orgeh;orgeH_tousSols_nonirr_organique;606.31;1.71;21.08;4.1;0.0;1.09;0.0;632.59;0.07
2019;213;268;beauce_5_sa_016;solnu;;718.35;1.71;0.0;4.95;0.0;0.0;0.0;723.29;0.07
2019;269;365;beauce_5_sa_016;orgeh;orgeH_tousSols_nonirr_organique;640.68;1.71;15.93;4.31;0.0;1.24;0.0;662.16;0.07
2019;213;296;beauce_5_sa_017;solnu;;885.59;1.71;0.0;6.07;0.0;0.0;0.0;891.66;0.07
2019;297;365;beauce_5_sa_017;orgeh;orgeH_tousSols_nonirr_organique;472.86;1.71;35.58;3.19;0.0;0.91;0.0;512.54;0.07
2019;213;284;beauce_5_sa_018;solnu;;818.91;1.71;0.0;5.59;0.0;0.0;0.0;824.5;0.07
2019;285;365;beauce_5_sa_018;orgeh;orgeH_tousSols_nonirr_organique;540.0;1.71;28.75;3.67;0.0;0.99;0.0;573.41;0.07
2019;213;312;beauce_5_sa_019;solnu;;1004.94;1.71;7.44;6.89;0.0;0.0;0.0;1019.27;0.07
2019;313;365;beauce_5_sa_019;orgeh;orgeH_tousSols_nonirr_organique;353.71;1.71;29.58;2.37;0.0;0.93;0.0;386.6;0.07
2019;213;295;beauce_5_sa_020;solnu;;879.1;1.71;0.0;6.02;0.0;0.0;0.0;885.12;0.07
2019;296;365;beauce_5_sa_020;orgeh;orgeH_tousSols_nonirr_organique;479.52;1.71;35.27;3.24;0.0;0.93;0.0;518.95;0.07
2019;213;266;beauce_5_sa_021;solnu;;697.17;1.71;0.0;4.79;0.0;0.0;0.0;701.96;0.07
2019;267;365;beauce_5_sa_021;orgeh;orgeH_tousSols_nonirr_organique;661.66;1.71;14.03;4.47;0.0;1.21;0.0;681.37;0.07
2019;213;298;beauce_5_sa_022;solnu;;902.6;1.71;0.0;6.18;0.0;0.0;0.0;908.77;0.07
2019;299;365;beauce_5_sa_022;orgeh;orgeH_tousSols_nonirr_organique;456.07;1.71;35.94;3.08;0.0;0.93;0.0;496.02;0.07
2019;213;272;beauce_5_sa_023;solnu;;753.24;1.71;0.0;5.16;0.0;0.0;0.0;758.4;0.07
2019;273;365;beauce_5_sa_023;orgeh;orgeH_tousSols_nonirr_organique;606.31;1.71;21.08;4.1;0.0;1.09;0.0;632.59;0.07
2019;213;284;beauce_5_sa_024;solnu;;818.88;1.71;0.0;5.59;0.0;0.0;0.0;824.46;0.07
2019;285;365;beauce_5_sa_024;orgeh;orgeH_tousSols_nonirr_organique;539.71;1.71;28.79;3.67;0.0;0.97;0.0;573.13;0.07
2019;213;312;beauce_5_sa_025;solnu;;1004.94;1.71;7.43;6.89;0.0;0.0;0.0;1019.27;0.07
2019;313;365;beauce_5_sa_025;orgeh;orgeH_tousSols_nonirr_organique;353.71;1.71;29.58;2.37;0.0;0.93;0.0;386.6;0.07
2019;213;267;beauce_5_sa_026;solnu;;703.78;1.71;0.0;4.88;0.0;0.0;0.0;708.66;0.07
2019;268;365;beauce_5_sa_026;orgeh;orgeH_tousSols_nonirr_organique;652.39;1.71;17.07;4.36;0.0;1.19;0.0;675.02;0.07
2019;213;302;beauce_5_sa_027;solnu;;929.06;1.71;0.0;6.35;0.0;0.0;0.0;935.41;0.07
2019;303;365;beauce_5_sa_027;orgeh;orgeH_tousSols_nonirr_organique;429.61;1.71;36.43;2.91;0.0;0.93;0.0;469.88;0.07
2019;213;260;beauce_5_sa_028;solnu;;649.39;1.71;0.0;4.44;0.0;0.0;0.0;653.84;0.07
2019;261;365;beauce_5_sa_028;orgeh;orgeH_tousSols_nonirr_organique;714.99;1.71;4.98;4.85;0.0;1.2;0.0;726.03;0.07
